Area,crime_2011,crime_2021
E01000193,0.22462077,0.188630491
E01000194,0.097694175,0.119513485
E01000195,0.093088071,0.103792415
E01000196,0.079845815,0.097902098
E01000197,0.044021739,0.049781182
E01000198,0.048446551,0.051565378
E01000199,0.046296296,0.042209808
E01000200,0.034575905,0.033864542
E01000201,0.0703125,0.045513654
E01000202,0.023904382,0.042628774
E01000203,0.06039489,0.078761543
E01000204,0.046847889,0.047813411
E01000205,0.070680628,0.055776892
E01000206,0.134652202,0.080699395
E01000207,0.073910297,0.056627256
E01000208,0.061211743,0.053081147
E01000209,0.063178047,0.051451187
E01000210,0.05931657,0.042718447
E01000211,0.121316306,0.104147031
E01000212,0.052521008,0.056851312
E01000213,0.06037474,0.042233357
E01000214,0.056085919,0.075076923
E01000215,0.052529183,0.039649608
E01000216,0.037468354,0.044184865
E01000217,0.031663788,0.03672788
E01000218,0.050054407,0.071584699
E01000219,0.043956044,0.065813528
E01000220,0.052099947,0.050928382
E01000221,0.304179567,0.228448276
E01000222,0.068639798,0.055916126
E01000223,0.169504644,0.120765832
E01000224,0.04737516,0.043962485
E01000225,0.029741863,0.031754575
E01000226,0.043010753,0.056571429
E01000227,0.039184112,0.034067086
E01000228,0.05993266,0.065708419
E01000229,0.040023895,0.033939394
E01000230,0.028555431,0.030776993
E01000231,0.085313175,0.054023635
E01000232,0.048833424,0.054126474
E01000233,0.060821918,0.069719043
E01000234,0.034583822,0.045352744
E01000235,0.063089623,0.06345733
E01000236,0.045720362,0.040289256
E01000237,0.086282113,0.098048548
E01000238,0.040465352,0.054510371
E01000239,0.063476071,0.059053197
E01000240,0.066746126,0.058991982
E01000241,0.048515982,0.059800664
E01000242,0.059393939,0.045204643
E01000243,0.091434577,0.079925651
E01000244,0.068261377,0.0976205
E01000245,0.105605606,0.114769976
E01000246,0.042553191,0.028277635
E01000247,0.064382753,0.052913199
E01000248,0.086330935,0.074138938
E01000249,0.053079948,0.026829268
E01000250,0.143175736,0.101493681
E01000251,0.072198276,0.100929615
E01000252,0.060869565,0.04558569
E01000253,0.074449077,0.042402827
E01000254,0.05631068,0.034632035
E01000255,0.063844086,0.065797273
E01000256,0.050866406,0.037804247
E01000257,0.110752688,0.081967213
E01000258,0.092168675,0.091728526
E01000259,0.068872643,0.044602699
E01000260,0.12248996,0.057089378
E01000261,0.045739348,0.023255814
E01000262,0.085342529,0.079747003
E01000263,0.025252525,0.033354715
E01000264,0.136911942,0.140736668
E01000265,0.046137895,0.041188738
E01000266,0.038637852,0.034955449
E01000267,0.033464567,0.031806616
E01000268,0.108433735,0.12457586
E01000269,0.049546406,0.04057971
E01000270,0.040349697,0.033116883
E01000271,0.055820286,0.067032297
E01000272,0.040358744,0.039285714
E01000273,0.069536424,0.069006544
E01000274,0.074570815,0.048893464
E01000275,0.024420024,0.026643991
E01000276,0.024326101,0.020819342
E01000277,0.036851968,0.037544696
E01000278,0.036279683,0.031271244
E01000279,0.055977885,0.034188034
E01000280,0.026049204,0.035294118
E01000281,0.166402536,0.081985499
E01000282,0.040398126,0.043478261
E01000283,0.030747729,0.03010279
E01000284,0.049552239,0.039782016
E01000285,0.026334026,0.03257329
E01000286,0.034854246,0.048088065
E01000287,0.052267003,0.035392921
E01000288,0.053435115,0.038910506
E01000289,0.088852097,0.072418136
E01000290,0.047680412,0.05864005
E01000291,0.075364155,0.044642857
E01000292,0.085889571,0.05452213
E01000293,0.057457922,0.036973834
E01000294,0.08281054,0.09491904
E01000295,0.038416764,0.067985167
E01000296,0.089316988,0.116488464
E01000297,0.044444444,0.041432584
E01000298,0.085855806,0.094438007
E01000299,0.153803749,0.089375285
E01000300,0.031154551,0.030048077
E01000301,0.036434613,0.028956229
E01000302,0.062676454,0.064461883
E01000303,0.04206501,0.027134348
E01000304,0.031410256,0.046945338
E01000305,0.100119904,0.137003058
E01000306,0.044548652,0.021382397
E01000307,0.365060241,0.488145897
E01000308,0.066885246,0.047912713
E01000309,0.044735406,0.03685742
E01000310,0.107579462,0.115314494
E01000311,0.059436275,0.066780822
E01000312,0.052631579,0.091564928
E01000313,0.068763326,0.073839662
E01000314,0.107332625,0.075576037
E01000315,0.075218659,0.057176196
E01000316,0.184041184,0.117105263
E01000317,0.047029703,0.046855734
E01000318,0.054585153,0.044885177
E01000319,0.051162791,0.042120552
E01000320,0.044067797,0.031524548
E01000321,0.082977425,0.065674705
E01000322,0.077952298,0.057142857
E01000323,0.124875125,0.135792121
E01000324,0.05360134,0.044011142
E01000325,0.027244582,0.032796661
E01000326,0.043711656,0.040454223
E01000327,0.016212711,0.027967682
E01000328,0.035690236,0.04244997
E01000329,0.048595292,0.041444642
E01000330,0.054298643,0.139294404
E01000331,0.041053922,0.076023392
E01000332,0.055446836,0.039718129
E01000333,0.078302451,0.085744345
E01000334,0.021039604,0.037869822
E01000335,0.108420473,0.110908428
E01000336,0.077284595,0.103103103
E01000337,0.050420168,0.051582649
E01000338,0.046786922,0.043712898
E01000339,0.026814912,0.034055728
E01000340,0.036569149,0.01964512
E01000341,0.01676727,0.026692708
E01000342,0.019975031,0.023071852
E01000343,0.039791259,0.049800797
E01000344,0.031618103,0.040665434
E01000345,0.011782032,0.023413897
E01000346,0.024585126,0.043921069
E01000347,0.030976431,0.038157895
E01000348,0.011440108,0.019741321
E01000349,0.026506024,0.027214823
E01000350,0.029880478,0.0323219
E01000351,0.021410579,0.028606965
E01000352,0.08778626,0.101028433
E01000353,0.019002375,0.022356495
E01000354,0.0265428,0.035786631
E01000355,0.015742642,0.024657534
E01000356,0.036245955,0.037723785
E01000357,0.019191227,0.015804598
E01000358,0.054658385,0.038829152
E01000359,0.033567525,0.030816641
E01000360,0.286570743,0.212407992
E01000361,0.021373057,0.019863439
E01000362,0.283018868,0.275210084
E01000363,0.026462396,0.029652997
E01000364,0.02590019,0.032371984
E01000365,0.043426532,0.065092166
E01000366,0.032095658,0.037192561
