LSOA Code,2011,2021,change
E01000141,235000.0,607500.0,372500.0
E01000142,213750.0,463000.0,249250.0
E01000143,243750.0,586111.2498373454,342361.24983734544
E01000144,835000.0,525000.0,-310000.0
E01000145,580000.0,1117500.0,537500.0
E01000146,450000.0,787500.0,337500.0
E01000147,322000.0,550000.0,228000.0
E01000148,213250.0,317500.0,104250.0
E01000150,224000.0,385000.0,161000.0
E01000151,200000.0,586111.2498373454,386111.24983734544
E01000152,174500.0,415000.0,240500.0
E01000153,228750.0,586111.2498373454,357361.24983734544
E01000154,215000.0,407500.0,192500.0
E01000155,209000.0,322500.0,113500.0
E01000156,307500.0,700000.0,392500.0
E01000157,207000.0,360000.0,153000.0
E01000158,258250.0,659250.0,401000.0
E01000159,495000.0,790000.0,295000.0
E01000160,310000.0,440000.0,130000.0
E01000161,250000.0,575000.0,325000.0
E01000162,378000.0,634500.0,256500.0
E01000163,171000.0,347500.0,176500.0
E01000164,261500.0,660000.0,398500.0
E01000165,369000.0,512500.0,143500.0
E01000166,326000.0,538750.0,212750.0
E01000167,225000.0,417500.0,192500.0
E01000168,407500.0,800000.0,392500.0
E01000169,275000.0,516500.0,241500.0
E01000170,249000.0,567500.0,318500.0
E01000171,200000.0,442500.0,242500.0
E01000172,352498.0,630000.0,277502.0
E01000173,372500.0,591000.0,218500.0
E01000174,270000.0,426250.0,156250.0
E01000175,348500.0,657500.0,309000.0
E01000176,321000.0,586111.2498373454,265111.24983734544
E01000177,340000.0,642500.0,302500.0
E01000178,509000.0,954575.0,445575.0
E01000179,315000.0,621250.0,306250.0
E01000180,332500.0,460000.0,127500.0
E01000181,685000.0,947500.0,262500.0
E01000182,514000.0,1110000.0,596000.0
E01000183,337500.0,440500.0,103000.0
E01000184,225000.0,375000.0,150000.0
E01000185,202000.0,365000.0,163000.0
E01000186,486250.0,762500.0,276250.0
E01000187,395000.0,745000.0,350000.0
E01000188,592500.0,1009225.0,416725.0
E01000189,271500.0,395000.0,123500.0
E01000190,465000.0,583500.0,118500.0
E01000191,499950.0,765000.0,265050.0
E01000192,307500.0,657500.0,350000.0
E01000193,420000.0,580000.0,160000.0
E01000194,319500.0,585000.0,265500.0
E01000195,175000.0,415000.0,240000.0
E01000196,323750.0,485000.0,161250.0
E01000197,400000.0,765000.0,365000.0
E01000198,482500.0,565000.0,82500.0
E01000199,472500.0,606250.0,133750.0
E01000200,318000.0,575000.0,257000.0
E01000201,1170000.0,1825000.0,655000.0
E01000202,352500.0,1007500.0,655000.0
E01000203,377500.0,950000.0,572500.0
E01000204,340000.0,1037500.0,697500.0
E01000205,575000.0,850000.0,275000.0
E01000206,3175000.0,4000000.0,825000.0
E01000207,1205000.0,1625889.0,420889.0
E01000208,570000.0,1450000.0,880000.0
E01000209,665000.0,992500.0,327500.0
E01000210,352500.0,875000.0,522500.0
E01000211,342500.0,630000.0,287500.0
E01000212,600000.0,1410000.0,810000.0
E01000213,2193750.0,2876250.0,682500.0
E01000214,407000.0,652500.0,245500.0
E01000215,390000.0,1025000.0,635000.0
E01000216,648000.0,1095000.0,447000.0
E01000217,650400.0,1280000.0,629600.0
E01000218,543000.0,700000.0,157000.0
E01000219,601000.0,542500.0,-58500.0
E01000220,425000.0,499950.0,74950.0
E01000221,161000.0,586111.2498373454,425111.24983734544
E01000222,362000.0,633500.0,271500.0
E01000223,300000.0,586111.2498373454,286111.24983734544
E01000224,410250.0,685000.0,274750.0
E01000225,465000.0,1097500.0,632500.0
E01000226,218000.0,412500.0,194500.0
E01000227,350000.0,575000.0,225000.0
E01000228,493000.0,706000.0,213000.0
E01000229,312500.0,515000.0,202500.0
E01000230,322500.0,672000.0,349500.0
E01000231,205000.0,352500.0,147500.0
E01000232,421750.0,619500.0,197750.0
E01000233,331000.0,734375.0,403375.0
E01000234,415000.0,675000.0,260000.0
E01000235,286000.0,460000.0,174000.0
E01000236,310000.0,510000.0,200000.0
E01000237,340000.0,615000.0,275000.0
E01000238,375000.0,660000.0,285000.0
E01000239,235000.0,326500.0,91500.0
E01000240,350000.0,542500.0,192500.0
E01000241,340000.0,880000.0,540000.0
E01000242,554975.0,474000.0,-80975.0
E01000243,239000.0,399750.0,160750.0
E01000244,315000.0,605000.0,290000.0
E01000245,325000.0,315000.0,-10000.0
E01000246,330000.0,651000.0,321000.0
E01000247,250000.0,430000.0,180000.0
E01000248,320000.0,643750.0,323750.0
E01000249,489000.0,715000.0,226000.0
E01000250,327500.0,553750.0,226250.0
E01000251,212250.0,428750.0,216500.0
E01000252,287000.0,410000.0,123000.0
E01000253,1100000.0,1305000.0,205000.0
E01000254,406250.0,682500.0,276250.0
E01000255,326500.0,686375.0,359875.0
E01000256,323500.0,769950.0,446450.0
E01000257,265000.0,538500.0,273500.0
E01000258,420000.0,605000.0,185000.0
E01000259,365000.0,636250.0,271250.0
E01000260,286250.0,580000.0,293750.0
E01000261,552500.0,873750.0,321250.0
E01000262,390000.0,608750.0,218750.0
E01000263,760000.0,1225000.0,465000.0
E01000264,290000.0,1015000.0,725000.0
E01000265,220000.0,400000.0,180000.0
E01000266,609000.0,992500.0,383500.0
E01000267,375000.0,645000.0,270000.0
E01000268,226450.0,404000.0,177550.0
E01000269,344500.0,635000.0,290500.0
E01000270,248475.0,516350.0,267875.0
E01000271,340000.0,1042500.0,702500.0
