Area,2021
lsoa2021:E01000001 : City of London 001A,80.1
lsoa2021:E01000002 : City of London 001B,78.2
lsoa2021:E01000003 : City of London 001C,74.1
lsoa2021:E01000005 : City of London 001E,38.5
lsoa2021:E01032739 : City of London 001F,67.8
lsoa2021:E01032740 : City of London 001G,69.9
lsoa2021:E01004647 : Westminster 001A,59.5
lsoa2021:E01004649 : Westminster 001B,47.2
lsoa2021:E01004724 : Westminster 001C,66.9
lsoa2021:E01004730 : Westminster 001D,54.3
lsoa2021:E01004646 : Westminster 002A,59
lsoa2021:E01004648 : Westminster 002B,65.4
lsoa2021:E01004650 : Westminster 002C,63.4
lsoa2021:E01004710 : Westminster 002D,50.2
lsoa2021:E01004711 : Westminster 002E,48.9
lsoa2021:E01004651 : Westminster 003A,57.2
lsoa2021:E01004725 : Westminster 003B,40.4
lsoa2021:E01004726 : Westminster 003C,57.6
lsoa2021:E01004728 : Westminster 003D,55.8
lsoa2021:E01004729 : Westminster 003E,51.3
lsoa2021:E01004718 : Westminster 004A,38.8
lsoa2021:E01004719 : Westminster 004B,54
lsoa2021:E01004720 : Westminster 004C,49.8
lsoa2021:E01004721 : Westminster 004D,40.4
lsoa2021:E01004722 : Westminster 004E,24
lsoa2021:E01004674 : Westminster 005A,39.5
lsoa2021:E01004675 : Westminster 005B,44.4
lsoa2021:E01004677 : Westminster 005C,53.6
lsoa2021:E01004678 : Westminster 005D,43.9
lsoa2021:E01004679 : Westminster 005E,43.3
lsoa2021:E01004723 : Westminster 005F,44.4
lsoa2021:E01004676 : Westminster 006A,55.5
lsoa2021:E01004706 : Westminster 006B,72.7
lsoa2021:E01004707 : Westminster 006C,70.8
lsoa2021:E01004708 : Westminster 006D,61
lsoa2021:E01004756 : Westminster 006E,56.4
lsoa2021:E01004701 : Westminster 007A,67.7
lsoa2021:E01004703 : Westminster 007B,67.1
lsoa2021:E01004705 : Westminster 007D,73.1
lsoa2021:E01004709 : Westminster 007E,53.1
lsoa2021:E01035715 : Westminster 007H,72.9
lsoa2021:E01004659 : Westminster 008A,59.5
lsoa2021:E01004660 : Westminster 008B,58.5
lsoa2021:E01004712 : Westminster 008C,61.9
lsoa2021:E01004727 : Westminster 008D,48.3
lsoa2021:E01004670 : Westminster 009A,22.2
lsoa2021:E01004702 : Westminster 009E,35
lsoa2021:E01033598 : Westminster 009F,35
lsoa2021:E01033601 : Westminster 009G,29.9
lsoa2021:E01033602 : Westminster 009H,33
lsoa2021:E01033603 : Westminster 009I,50
lsoa2021:E01033604 : Westminster 009J,38.5
lsoa2021:E01033605 : Westminster 009K,36.4
lsoa2021:E01004754 : Westminster 010A,43.3
lsoa2021:E01004755 : Westminster 010B,35.4
lsoa2021:E01004757 : Westminster 010C,43.5
lsoa2021:E01032512 : Westminster 010F,28.6
lsoa2021:E01032513 : Westminster 010G,39.5
lsoa2021:E01004713 : Westminster 011A,77.3
lsoa2021:E01004714 : Westminster 011B,64.4
lsoa2021:E01004716 : Westminster 011C,69.8
lsoa2021:E01004717 : Westminster 011D,70.5
lsoa2021:E01004762 : Westminster 011E,53.8
lsoa2021:E01004657 : Westminster 012A,76.5
lsoa2021:E01004658 : Westminster 012B,52.6
lsoa2021:E01004661 : Westminster 012C,50.2
lsoa2021:E01004662 : Westminster 012D,68.4
lsoa2021:E01004663 : Westminster 012E,62.5
lsoa2021:E01004715 : Westminster 013A,54.2
lsoa2021:E01004763 : Westminster 013B,62.6
lsoa2021:E01004765 : Westminster 013D,65.3
lsoa2021:E01035716 : Westminster 013G,61.9
lsoa2021:E01004653 : Westminster 014A,70.5
lsoa2021:E01004654 : Westminster 014B,67.1
lsoa2021:E01004656 : Westminster 014D,58.8
lsoa2021:E01004760 : Westminster 014E,45.4
lsoa2021:E01035717 : Westminster 014H,67.9
lsoa2021:E01004680 : Westminster 015A,61.4
lsoa2021:E01004683 : Westminster 015B,57.9
lsoa2021:E01004684 : Westminster 015C,36.2
lsoa2021:E01004686 : Westminster 015E,41.8
lsoa2021:E01033593 : Westminster 015F,39.7
lsoa2021:E01033594 : Westminster 015G,44.2
lsoa2021:E01004681 : Westminster 016A,55.6
lsoa2021:E01004682 : Westminster 016B,61.2
lsoa2021:E01004694 : Westminster 016C,66.8
lsoa2021:E01004697 : Westminster 016D,63.4
lsoa2021:E01004700 : Westminster 016E,69.1
lsoa2021:E01004652 : Westminster 017A,53.7
lsoa2021:E01004693 : Westminster 017B,70.5
lsoa2021:E01004695 : Westminster 017C,51.6
lsoa2021:E01004696 : Westminster 017D,46.9
lsoa2021:E01004698 : Westminster 017E,59.7
lsoa2021:E01004699 : Westminster 017F,64.4
lsoa2021:E01004734 : Westminster 018A,58.2
lsoa2021:E01004735 : Westminster 018B,58
lsoa2021:E01004736 : Westminster 018C,67.4
lsoa2021:E01004761 : Westminster 018D,59
lsoa2021:E01004687 : Westminster 019A,76.8
lsoa2021:E01004690 : Westminster 019D,73.7
lsoa2021:E01004691 : Westminster 019E,70.3
lsoa2021:E01004692 : Westminster 019F,54.2
lsoa2021:E01035718 : Westminster 019G,62.2
lsoa2021:E01004731 : Westminster 020A,61.6
lsoa2021:E01004732 : Westminster 020B,54.7
lsoa2021:E01004733 : Westminster 020C,63.3
lsoa2021:E01004744 : Westminster 020D,60.4
lsoa2021:E01004748 : Westminster 020E,75.8
lsoa2021:E01004740 : Westminster 021A,57.3
lsoa2021:E01004743 : Westminster 021B,49.2
lsoa2021:E01004746 : Westminster 021D,56.8
lsoa2021:E01004747 : Westminster 021E,56.4
lsoa2021:E01035719 : Westminster 021F,63.1
lsoa2021:E01035720 : Westminster 021G,65.5
lsoa2021:E01004742 : Westminster 022A,72.6
lsoa2021:E01004749 : Westminster 022B,65
lsoa2021:E01004751 : Westminster 022C,74.7
lsoa2021:E01004752 : Westminster 022D,61.2
lsoa2021:E01004753 : Westminster 022E,69.6
lsoa2021:E01004668 : Westminster 023D,62.9
lsoa2021:E01004750 : Westminster 023E,58.7
lsoa2021:E01033597 : Westminster 023F,59.7
lsoa2021:E01033599 : Westminster 023G,39.1
lsoa2021:E01035721 : Westminster 023H,56
lsoa2021:E01004665 : Westminster 024A,39.9
lsoa2021:E01004669 : Westminster 024B,49.7
lsoa2021:E01004737 : Westminster 024C,60.9
lsoa2021:E01004741 : Westminster 024F,65.7
lsoa2021:E01035722 : Westminster 024G,66
lsoa2021:E01002852 : Kensington and Chelsea 001A,37.5
lsoa2021:E01002853 : Kensington and Chelsea 001B,43.1
lsoa2021:E01002854 : Kensington and Chelsea 001C,44.5
lsoa2021:E01002855 : Kensington and Chelsea 001D,39.9
lsoa2021:E01002857 : Kensington and Chelsea 001E,43.6
lsoa2021:E01002904 : Kensington and Chelsea 002A,41.1
lsoa2021:E01002905 : Kensington and Chelsea 002B,57.5
lsoa2021:E01002906 : Kensington and Chelsea 002C,58.9
lsoa2021:E01002907 : Kensington and Chelsea 002D,50.7
lsoa2021:E01002876 : Kensington and Chelsea 003A,62.3
lsoa2021:E01002877 : Kensington and Chelsea 003B,39.6
lsoa2021:E01002878 : Kensington and Chelsea 003C,63.9
lsoa2021:E01002908 : Kensington and Chelsea 003D,66.8
lsoa2021:E01002909 : Kensington and Chelsea 003E,66.9
lsoa2021:E01002829 : Kensington and Chelsea 004A,61.5
lsoa2021:E01002830 : Kensington and Chelsea 004B,48.6
lsoa2021:E01002831 : Kensington and Chelsea 004C,54.6
lsoa2021:E01002832 : Kensington and Chelsea 004D,52.2
lsoa2021:E01002856 : Kensington and Chelsea 004E,55.5
lsoa2021:E01002870 : Kensington and Chelsea 005A,48.3
lsoa2021:E01002872 : Kensington and Chelsea 005B,63.7
lsoa2021:E01002879 : Kensington and Chelsea 005C,37
lsoa2021:E01002880 : Kensington and Chelsea 005D,32.6
lsoa2021:E01002881 : Kensington and Chelsea 005E,49.3
lsoa2021:E01002882 : Kensington and Chelsea 006A,71.4
lsoa2021:E01002883 : Kensington and Chelsea 006B,73.5
lsoa2021:E01002884 : Kensington and Chelsea 006C,64.8
lsoa2021:E01002885 : Kensington and Chelsea 006D,73.2
lsoa2021:E01002886 : Kensington and Chelsea 006E,70.4
lsoa2021:E01002833 : Kensington and Chelsea 007A,72.7
lsoa2021:E01002871 : Kensington and Chelsea 007B,78.1
lsoa2021:E01002873 : Kensington and Chelsea 007C,66.7
lsoa2021:E01002874 : Kensington and Chelsea 007D,71.9
lsoa2021:E01002875 : Kensington and Chelsea 007E,77.4
lsoa2021:E01002824 : Kensington and Chelsea 008A,71.8
lsoa2021:E01002825 : Kensington and Chelsea 008B,64.5
lsoa2021:E01002826 : Kensington and Chelsea 008C,72
lsoa2021:E01002827 : Kensington and Chelsea 008D,77
lsoa2021:E01002828 : Kensington and Chelsea 008E,70.3
lsoa2021:E01002864 : Kensington and Chelsea 009A,62.4
lsoa2021:E01002866 : Kensington and Chelsea 009B,51.6
lsoa2021:E01002867 : Kensington and Chelsea 009C,54.3
lsoa2021:E01002868 : Kensington and Chelsea 009D,69
lsoa2021:E01002869 : Kensington and Chelsea 009E,58.3
lsoa2021:E01002887 : Kensington and Chelsea 010A,65
lsoa2021:E01002889 : Kensington and Chelsea 010B,72.7
lsoa2021:E01002890 : Kensington and Chelsea 010C,74.5
lsoa2021:E01002891 : Kensington and Chelsea 010D,66.2
lsoa2021:E01002892 : Kensington and Chelsea 010E,64.7
lsoa2021:E01002813 : Kensington and Chelsea 011A,77.7
lsoa2021:E01002815 : Kensington and Chelsea 011B,55.1
lsoa2021:E01002816 : Kensington and Chelsea 011C,66.5
lsoa2021:E01002817 : Kensington and Chelsea 011D,70.4
lsoa2021:E01002865 : Kensington and Chelsea 011E,71.7
lsoa2021:E01002818 : Kensington and Chelsea 012A,66.2
lsoa2021:E01002819 : Kensington and Chelsea 012B,70.5
lsoa2021:E01002859 : Kensington and Chelsea 012C,76.5
lsoa2021:E01002860 : Kensington and Chelsea 012D,81.2
lsoa2021:E01002863 : Kensington and Chelsea 012E,75.4
lsoa2021:E01002812 : Kensington and Chelsea 013A,61.7
lsoa2021:E01002834 : Kensington and Chelsea 013B,71.1
lsoa2021:E01002839 : Kensington and Chelsea 013C,56.7
lsoa2021:E01002850 : Kensington and Chelsea 013D,58.7
lsoa2021:E01002888 : Kensington and Chelsea 013E,56.1
lsoa2021:E01002821 : Kensington and Chelsea 014A,70.9
lsoa2021:E01002823 : Kensington and Chelsea 014B,62.4
lsoa2021:E01002858 : Kensington and Chelsea 014C,45
lsoa2021:E01002861 : Kensington and Chelsea 014D,72.4
lsoa2021:E01002862 : Kensington and Chelsea 014E,59.5
lsoa2021:E01002814 : Kensington and Chelsea 015A,42.8
lsoa2021:E01002847 : Kensington and Chelsea 015B,61.2
lsoa2021:E01002848 : Kensington and Chelsea 015C,63.9
lsoa2021:E01002851 : Kensington and Chelsea 015D,50.5
lsoa2021:E01002835 : Kensington and Chelsea 016C,66.7
lsoa2021:E01002836 : Kensington and Chelsea 016D,76.6
