LSOA code,All usual residents aged 16-74 ,Never worked and long term unemployed
E01001365,1652,276
E01001366,1434,223
E01001367,1327,210
E01001368,1266,186
E01001369,1405,222
E01001370,1503,223
E01001371,1480,224
E01001372,1341,227
E01001373,1096,158
E01001374,1424,75
E01001375,1276,24
E01001376,1283,83
E01001377,1299,45
E01001379,1278,22
E01001380,1401,47
E01001381,1346,77
E01001382,1106,36
E01001383,1424,71
E01001384,1316,49
E01001385,1292,44
E01001386,1366,45
E01001387,1223,73
E01001388,1249,115
E01001389,1348,102
E01032572,1300,47
E01032743,1473,180
E01032744,1013,131
E01034026,805,70
E01034027,1580,173
E01034028,990,87
E01034029,961,66
E01034030,1625,65
E01034031,0,0
E01001390,1590,64
E01001391,1269,106
E01001392,1434,65
E01001393,1722,118
E01001394,1257,143
E01001395,1138,158
E01001396,1078,91
E01001397,1462,160
E01001398,1036,41
E01001399,1080,32
E01001400,836,40
E01001401,939,51
E01001402,1408,101
E01001403,1404,81
E01001404,1068,82
E01001405,1238,71
E01001406,1190,92
E01001407,935,55
E01001408,1235,60
E01001409,1355,175
E01001410,1430,190
E01001411,1319,78
E01001412,1336,87
E01001413,1153,37
E01001414,1077,118
E01001415,1110,69
E01001416,1584,76
E01001417,1433,47
E01001418,1218,77
E01001419,1175,76
E01001420,1142,123
E01001421,1181,131
E01001422,1196,43
E01001423,980,145
E01001424,1098,193
E01001425,1255,237
E01001426,1282,218
E01001427,1228,257
E01001428,1145,194
E01001429,1651,362
E01001430,1196,282
E01001431,1095,212
E01001432,1344,186
E01001433,1240,173
E01001434,1109,108
E01001435,1042,93
E01001436,1314,148
E01001437,1598,227
E01001438,1183,157
E01001439,1367,233
E01001440,1152,136
E01001441,1093,165
E01001442,1047,185
E01001444,1215,112
E01001445,1631,208
E01001446,1291,147
E01001447,1373,235
E01001448,1292,185
E01001449,1108,138
E01001450,1403,96
E01001451,1148,43
E01001452,765,32
E01001453,1200,54
E01001454,1125,52
E01001455,1143,41
E01001456,1229,35
E01001457,1209,47
E01001458,1252,268
E01001459,1208,134
E01001460,1164,216
E01001461,1204,193
E01001462,979,147
E01001463,1136,111
E01001464,926,122
E01001465,1101,118
E01001466,1221,169
E01001467,1314,180
E01001468,995,92
E01001469,1186,90
E01001470,1126,48
E01001471,1333,75
E01001472,1464,66
E01001473,1099,80
E01001474,1166,33
E01001475,1218,64
E01001476,1173,145
E01001477,1254,168
E01001478,1103,105
E01001479,1188,151
E01001480,1133,126
E01001481,1172,153
E01001482,1296,197
E01001483,871,148
E01001484,931,89
E01001485,969,139
E01001486,1434,258
E01001487,1309,190
E01001488,1292,181
E01001489,1249,158
E01001491,1378,199
E01001492,1614,220
E01001493,1314,157
E01001494,1130,95
E01001495,1372,71
E01001496,1267,79
E01001497,1059,127
E01001498,1518,115
E01001499,1218,120
E01001500,1127,68
E01001501,1411,120
E01001502,1388,162
E01001503,1289,167
E01001504,1084,144
E01001505,1241,178
E01001507,1336,219
E01001508,1396,219
E01001509,1236,180
E01001511,1227,104
E01001512,1275,80
E01001513,1208,129
E01001514,1317,106
E01001515,1350,210
E01001516,1286,139
E01001517,1271,240
E01001518,1330,80
E01001520,1258,89
E01001521,1311,63
E01001522,1278,91
E01001523,1215,78
E01001524,1124,113
E01001525,1352,91
E01001526,1165,54
E01001527,1191,69
E01001528,1085,149
E01001529,1166,121
E01001530,968,73
E01001531,1113,59
E01001532,1340,50
E01001533,1101,52
E01001534,1224,77
E01001535,1091,51
E01001536,1280,66
E01001537,1225,68
E01001538,1221,46
E01001539,1216,58
E01001540,1328,67
E01001541,1104,37
E01001542,1102,97
E01001543,1176,57
E01001544,1144,69
E01001545,1233,187
E01001546,1263,137
E01001547,1255,167
E01001548,1264,171
E01001549,1317,243
E01001550,1147,140
E01001551,1177,185
E01001552,1266,96
E01001553,1098,212
E01001554,1242,263
E01001555,1273,189
E01001556,1155,109
E01001557,1096,139
E01001558,1059,182
E01001559,1444,231
E01001560,1164,162
E01001562,1240,255
E01001563,1240,82
E01001564,1203,49
E01001565,1221,71
E01001566,1308,90
E01001567,1119,27
E01001568,1185,71
E01001569,1344,67
E01001570,1324,85
E01032574,1388,185
E01033146,1083,202
E01033148,1295,205
E01033150,1145,145
E01033151,997,203
E01033926,2073,399
E01033927,1039,74
E01033928,902,42
E01001571,1195,97
E01001572,1204,80
E01001573,1092,83
E01001574,1191,183
E01001575,1097,141
E01001576,1097,167
E01001577,1202,156
E01001578,1498,162
E01001579,1113,110
E01001580,1379,40
E01001581,1316,56
E01001582,1028,88
E01001583,1262,37
E01001584,1120,34
E01001585,1136,56
E01001586,1068,60
E01001587,1484,65
E01001588,1182,101
E01001589,1241,127
E01001590,1384,79
E01001591,1446,201
E01001592,1327,61
E01001593,1254,52
E01001594,1342,158
E01001595,1335,144
E01001596,1140,48
E01001597,1157,90
E01001598,1216,46
E01001599,1232,63
E01001600,1192,69
E01001601,1116,56
E01001602,1322,121
E01001603,1159,95
E01001604,1075,36
E01001605,1174,36
E01001606,1212,36
E01001607,1082,59
E01001608,1043,33
E01001609,1152,73
E01001610,1248,59
E01001611,1188,63
E01001613,1165,57
E01001614,1065,34
E01001615,1147,56
E01001617,1164,47
E01001618,1116,84
E01001619,1403,80
E01001620,1135,134
E01001621,1126,95
E01001623,1266,120
E01001624,1156,78
E01001625,1153,122
E01001629,1585,204
E01001631,1453,208
E01001632,1800,217
E01001633,1160,156
E01001634,1157,172
E01001635,1279,195
E01001636,1320,234
E01001637,1312,144
E01001638,1388,141
E01001641,1368,70
E01001642,1336,44
E01001644,1812,96
E01001645,990,76
E01001646,2131,159
E01001647,1079,83
E01001648,1561,111
E01001649,1145,96
E01001650,1275,104
E01001651,1225,128
E01001652,1156,67
E01001653,1092,123
E01001654,1052,98
E01001655,1069,110
E01001656,897,65
E01001657,1120,60
E01001658,1113,69
E01001659,1082,75
E01001660,1133,106
E01001661,1088,82
E01001664,1498,74
E01001665,1511,94
E01001666,1326,86
E01001669,1349,122
E01001671,1136,92
E01001672,1494,181
E01001673,1430,242
E01001674,1388,155
E01001675,1524,192
E01001676,1232,161
E01001677,1432,127
E01001678,1213,78
E01001679,996,45
E01001680,1152,60
E01001681,723,55
E01001682,977,63
E01001683,1322,162
E01001684,1067,89
E01001685,1142,161
E01001686,1318,148
E01001687,878,91
E01001688,1681,191
E01001690,1378,121
E01001692,969,126
E01001693,1072,133
E01001694,1215,135
E01001695,1205,165
E01001696,950,167
E01001697,1507,181
E01001698,1240,175
E01001699,1416,139
E01001700,1447,161
E01001701,1016,107
E01001702,1066,187
E01001703,1284,247
E01001704,1229,136
E01001705,1360,200
E01001708,1179,87
E01001710,1129,190
E01001712,1483,199
E01032567,1222,89
E01033727,2102,165
E01033728,1069,19
E01033729,2400,142
E01033732,842,46
E01033734,1019,73
E01033735,867,70
E01033736,1001,32
E01033737,1049,146
E01033738,829,34
E01033739,1047,97
E01033740,1077,78
E01033741,1901,381
E01033742,1089,112
E01033743,1262,130
E01033744,1277,151
E01033745,1204,111
E01033746,1129,59
E01034173,2115,326
E01034174,272,28
E01034175,288,56
E01034176,1138,124
E01034177,0,0
E01034178,0,0
E01034179,831,77
E01034180,977,123
E01034181,519,18
E01034182,494,46
E01034183,455,22
E01034184,241,6
E01034185,638,21
E01034186,223,1
E01034187,653,27
E01034188,0,0
E01034189,0,0
E01034190,1163,147
E01034191,235,30
E01034192,1440,95
E01034193,0,0
E01034194,312,8
E01034195,0,0
E01034196,653,31
E01034198,1980,220
E01001714,1149,161
E01001715,1192,61
E01001716,1090,96
E01001717,932,102
E01001718,1597,49
E01001719,873,103
E01001720,1526,61
E01001722,1472,212
E01001723,1473,160
E01001724,1817,153
E01001725,1174,175
E01001726,926,164
E01001727,1242,147
E01001728,1193,214
E01001729,1474,233
E01001730,1338,255
E01001731,1768,206
E01001732,1214,223
E01001733,1411,147
E01001734,1500,156
E01001735,1229,132
E01001736,1310,121
E01001737,1462,100
E01001738,1414,99
E01001739,1675,109
E01001740,1138,190
E01001741,1149,58
E01001742,1416,129
E01001744,1467,136
E01001745,1715,246
E01001746,1119,202
E01001747,1792,162
E01001749,1411,85
E01001750,1504,141
E01001751,1318,40
E01001753,1185,217
E01001755,1320,182
E01001756,1856,95
E01001757,1262,199
E01001758,1548,228
E01001759,1427,138
E01001760,1408,148
E01001761,1450,174
E01001762,1508,139
E01001763,1312,140
E01001764,1331,156
E01001765,1211,238
E01001767,1242,170
E01001768,1493,151
E01001769,1310,131
E01001770,1333,226
E01001772,789,126
E01001773,1621,234
E01001774,1647,183
E01001775,1331,197
E01001776,1155,184
E01001777,1874,196
E01001780,1456,165
E01001781,1285,197
E01001783,1451,228
E01001784,1884,191
E01001785,1135,157
E01001786,1264,217
E01001787,1043,195
E01001788,1067,190
E01001789,1343,138
E01001790,914,182
E01001791,1109,190
E01001792,1354,170
E01001793,1345,121
E01001794,1470,173
E01001795,1166,129
E01001796,1356,155
E01001798,1261,225
E01001799,743,96
E01001800,1252,217
E01001801,1006,128
E01001802,855,134
E01001803,1340,96
E01001804,953,148
E01001805,995,70
E01001806,1209,123
E01001807,1275,173
E01001808,1129,194
E01001809,1205,171
E01001811,1080,216
E01001812,1138,203
E01001813,943,137
E01001814,1113,148
E01001815,1329,204
E01001816,1250,115
E01001819,1260,103
E01001820,1126,171
E01001821,1108,170
E01001822,1232,246
E01001823,1087,213
E01001824,932,188
E01001825,895,145
E01001826,1082,190
E01001827,1224,226
E01001828,1427,251
E01001829,1369,72
E01001830,1556,176
E01001831,1388,96
E01001832,1339,129
E01001833,1696,191
E01001834,1680,132
E01001835,1031,70
E01001836,1391,147
E01001837,1200,63
E01001838,1179,243
E01001839,1861,152
E01001840,1211,204
E01001841,1073,119
E01001842,1185,166
E01001843,944,92
E01001844,1595,126
E01001845,1137,178
E01001846,897,127
E01001847,858,108
E01001848,1212,171
E01001849,1799,233
E01001850,1194,225
E01033699,1069,85
E01033700,1361,109
E01033702,839,124
E01033703,1114,145
E01033704,1376,72
E01033705,1012,132
E01033706,1402,46
E01033708,1528,37
E01033709,1397,87
E01033710,853,99
E01033711,1016,30
E01033712,1267,131
E01033713,1074,155
E01035638,784,170
E01035639,644,108
E01035640,1337,127
E01035641,631,46
E01035642,874,84
E01035643,1263,104
E01035644,673,41
E01035645,1029,148
E01035646,1309,150
E01035647,625,29
E01035648,1282,201
E01035649,602,40
E01035650,2083,246
E01001851,1267,33
E01001852,1595,57
E01001853,1245,51
E01001854,1458,81
E01001855,1452,74
E01001856,1018,118
E01001857,1185,140
E01001858,1441,93
E01001859,1945,193
E01001860,1416,154
E01001861,1179,110
E01001862,1434,140
E01001863,1216,59
E01001864,1264,85
E01001865,1356,73
E01001866,1307,84
E01001867,1079,74
E01001868,1050,113
E01001869,1290,50
E01001870,1732,85
E01001871,1361,95
E01001872,1426,93
E01001873,1175,88
E01001875,1325,186
E01001876,1683,225
E01001877,1041,103
E01001878,1174,152
E01001879,1225,88
E01001880,1223,71
E01001881,1338,39
E01001882,1517,63
E01001883,1241,78
E01001884,1485,89
E01001885,954,174
E01001886,1258,112
E01001887,1248,66
E01001888,1316,49
E01001889,1193,53
E01001890,1590,45
E01001891,1797,57
E01001892,1068,86
E01001893,961,115
E01001894,1074,105
E01001895,1258,55
E01001896,1295,78
E01001897,1088,41
E01001898,1322,82
E01001899,1068,140
E01001900,1360,108
E01001901,1268,49
E01001902,1466,69
E01001903,1313,131
E01001904,1308,47
E01001905,1360,39
E01001906,1235,32
E01001907,1010,39
E01001908,1484,93
E01001909,1507,99
E01001910,1351,62
E01001911,1312,157
E01001912,1203,168
E01001913,1406,19
E01001914,1555,86
E01001915,1053,23
E01001916,1019,27
E01001917,1150,46
E01001918,1184,45
E01001919,1149,46
E01001920,1207,77
E01001921,1241,80
E01001922,1227,52
E01001923,1181,54
E01001924,1197,34
E01001925,1183,32
E01001926,1136,29
E01001927,1105,37
E01001928,1289,100
E01001929,979,30
E01001930,1392,121
E01001931,1153,102
E01001932,1355,81
E01001933,1037,71
E01001934,1231,100
E01001935,2002,114
E01001937,1180,43
E01001938,1147,94
E01001940,1291,116
E01001941,1491,103
E01001942,1553,112
E01001943,1653,143
E01001944,1278,197
E01001945,1381,88
E01001946,1316,95
E01001947,1061,145
E01001948,1610,84
E01001949,1256,43
E01001950,1226,45
E01001951,1313,77
E01001952,1419,44
E01001953,1104,68
E01001954,1153,96
E01001955,1289,215
E01001956,1206,105
E01001957,1171,175
E01001958,1168,191
E01001959,1242,171
E01001960,1557,82
E01001961,1056,195
E01032788,876,74
E01032789,928,57
E01032790,826,81
E01035484,1024,64
E01035485,698,46
E01035486,854,63
E01035487,984,61
E01001962,1247,90
E01001963,1298,68
E01001964,1272,57
E01001965,1205,45
E01001966,1131,36
E01001967,1483,46
E01001968,1152,41
E01001969,1489,159
E01001970,1489,197
E01001971,1476,245
E01001972,1270,123
E01001973,1682,117
E01001974,1777,130
E01001975,1410,104
E01001976,1404,192
E01001977,1126,163
E01001978,1161,192
E01001979,1610,248
E01001980,1463,197
E01001981,1332,184
E01001982,1351,159
E01001983,1237,146
E01001984,1303,43
E01001985,1299,51
E01001986,1284,38
E01001987,1466,33
E01001988,1431,52
E01001989,1338,50
E01001990,1842,50
E01001991,1233,35
E01001992,1241,43
E01001993,1142,34
E01001994,1366,61
E01001995,1667,166
E01001996,1220,55
E01001997,1290,47
E01001998,1726,115
E01001999,1652,155
E01002000,1343,97
E01002001,1406,101
E01002002,1510,127
E01002003,1674,228
E01002004,1538,135
E01002005,1444,31
E01002006,1365,45
E01002007,1295,37
E01002008,1113,59
E01002009,1387,35
E01002010,1214,58
E01002011,1381,68
E01002013,1292,62
E01002014,1407,99
E01002015,933,117
E01002016,1543,83
E01002017,1469,112
E01002018,1021,98
E01002019,1018,33
E01002020,1233,62
E01002021,1133,41
E01002022,1584,60
E01002023,1092,32
E01002024,963,51
E01002025,1268,40
E01002026,1195,219
E01002027,1192,120
E01002028,1398,116
E01002029,1368,160
E01002030,1294,120
E01002031,1574,165
E01002032,1363,191
E01002033,1384,199
E01002034,1288,287
E01002036,1136,231
E01002037,1340,285
E01002038,1137,227
E01002039,1071,253
E01002040,1447,220
E01002041,1324,235
E01002042,1183,102
E01002043,1539,191
E01002044,1435,122
E01002045,1684,230
E01002046,1257,147
E01002047,1394,100
E01002048,1525,189
E01002049,1405,198
E01002050,1083,123
E01002051,1286,149
E01002052,1112,180
E01002053,1286,195
E01002054,1525,263
E01002055,985,103
E01002056,1248,126
E01002057,1225,148
E01002058,1393,136
E01002059,1255,101
E01002060,1403,40
E01002061,1401,47
E01002062,1545,76
E01002063,1270,75
E01002064,1193,105
E01002065,1444,61
E01002066,1328,215
E01002067,1293,205
E01002068,1480,169
E01002069,1544,211
E01002070,1538,197
E01002071,1158,173
E01002072,1467,208
E01002073,1315,192
E01002074,1426,274
E01002075,1289,202
E01002076,1388,194
E01002077,1486,213
E01002078,1657,216
E01002079,1179,162
E01002081,1328,247
E01002082,1073,207
E01002083,1153,104
E01002084,1272,106
E01002085,1676,202
E01002086,1239,208
E01002087,1268,170
E01002088,1437,165
E01002089,1057,222
E01002090,1161,168
E01002091,1212,245
E01002092,1219,226
E01002093,1239,222
E01002094,1070,177
E01002095,1132,187
E01002096,1106,163
E01002097,1105,186
E01002098,1083,65
E01002099,1496,265
E01002100,1421,180
E01002101,1507,176
E01002102,1502,160
E01002103,1429,140
E01002104,1086,123
E01002105,1654,139
E01032575,1296,269
E01033086,786,159
E01033943,938,107
E01033944,318,45
E01033945,1119,106
E01033946,354,23
E01002106,1529,105
E01002107,1287,73
E01002108,1303,83
E01002109,1330,70
E01002110,1293,82
E01002111,1562,141
E01002112,1361,72
E01002113,1106,56
E01002114,1302,110
E01002115,1111,78
E01002116,1200,59
E01002118,1258,103
E01002119,1266,136
E01002120,952,131
E01002121,1305,136
E01002122,1271,112
E01002123,1322,122
E01002124,1256,115
E01002125,1303,118
E01002127,1325,80
E01002128,1614,145
E01002129,1606,148
E01002130,1786,167
E01002131,1231,115
E01002132,1563,86
E01002133,1488,206
E01002134,1101,86
E01002135,1321,119
E01002136,1250,94
E01002137,1160,18
E01002138,1130,95
E01002139,998,149
E01002140,1237,86
E01002141,1284,78
E01002142,1316,78
E01002143,1120,125
E01002144,1139,70
E01002145,1087,89
E01002146,1050,28
E01002147,982,42
E01002148,1069,73
E01002149,994,26
E01002150,1305,75
E01002151,1008,139
E01002152,1172,45
E01002153,1271,66
E01002155,1183,61
E01002156,1142,52
E01002157,1299,70
E01002158,1076,33
E01002159,1407,121
E01002160,1489,83
E01002161,1486,137
E01002162,1343,109
E01002163,1218,77
E01002164,1315,80
E01002165,1317,122
E01002166,1261,121
E01002167,1226,123
E01002168,1082,110
E01002169,1248,135
E01002170,996,86
E01002171,1282,107
E01002172,1156,98
E01002173,1359,99
E01002174,1192,85
E01002175,1118,76
E01002176,1360,112
E01002177,1069,98
E01002178,1225,91
E01002179,1692,220
E01002181,1413,129
E01002182,1558,146
E01002183,1557,146
E01002184,1373,128
E01002185,1325,154
E01002186,999,71
E01002187,1338,88
E01002188,1121,25
E01002189,1204,54
E01002190,1204,42
E01002191,1414,72
E01002192,1038,43
E01002193,1254,70
E01002194,1223,45
E01002195,1152,55
E01002196,1288,35
E01002197,990,79
E01002198,1361,139
E01002199,1131,104
E01002200,1278,128
E01002201,1316,102
E01002202,1476,212
E01002203,1268,114
E01002204,1275,138
E01002206,1008,93
E01002207,1239,105
E01002208,959,48
E01002209,1217,83
E01002210,1183,86
E01002211,1132,145
E01002212,1256,139
E01002214,1298,155
E01002215,1087,124
E01002216,1178,107
E01002217,1052,152
E01002218,1150,117
E01002219,1282,139
E01002220,1185,100
E01002221,1188,87
E01002222,1156,98
E01002223,1352,117
E01002224,1087,124
E01002225,1056,46
E01002226,1570,99
E01002227,1300,174
E01002228,1492,126
E01002229,1214,80
E01002230,1339,77
E01002231,1367,119
E01002232,1386,111
E01002233,1482,213
E01002234,1265,152
E01002235,1279,177
E01002236,1346,153
E01002237,1283,95
E01002238,1317,81
E01002239,1202,77
E01002240,1268,103
E01002241,1197,112
E01002242,1383,88
E01032576,1222,87
E01034589,1478,116
E01034590,0,0
E01034591,712,88
E01034592,821,102
E01034593,930,60
E01034594,562,41
E01034595,951,74
E01034596,493,32
E01034597,721,62
E01034598,0,0
E01034599,1273,129
E01034600,812,78
E01002243,1333,122
E01002244,1268,82
E01002245,1075,55
E01002246,1176,45
E01002247,1320,83
E01002248,983,68
E01002250,1185,62
E01002251,994,76
E01002252,1058,30
E01002253,1069,14
E01002254,1106,11
E01002255,1069,33
E01002256,1020,27
E01002257,1170,18
E01002258,1128,52
E01002259,1045,34
E01002260,1164,63
E01002261,1184,58
E01002262,1143,49
E01002263,1245,32
E01002264,991,81
E01002265,1127,39
E01002266,990,38
E01002267,1131,58
E01002268,947,31
E01002269,1251,36
E01002270,1226,36
E01002271,1125,46
E01002272,995,30
E01002273,1010,46
E01002274,1199,31
E01002275,1024,35
E01002276,1348,113
E01002277,1111,88
E01002278,1065,92
E01002279,1094,80
E01002280,1058,138
E01002281,1141,119
E01002282,1094,109
E01002283,1002,75
E01002284,1258,82
E01002285,929,26
E01002286,1201,27
E01002287,1165,34
E01002288,1188,19
E01002289,1147,34
E01002290,1084,32
E01002291,1238,35
E01002292,1072,53
E01002294,1094,50
E01002295,1186,58
E01002296,1236,54
E01002297,1107,111
E01002298,1342,42
E01002299,1238,84
E01002300,922,23
E01002301,1184,55
E01002302,1131,43
E01002303,1419,95
E01002304,1025,64
E01002305,1102,59
E01002306,1083,79
E01002307,1184,85
E01002308,1403,97
E01002309,1093,77
E01002310,1176,116
E01002311,1176,83
E01002312,939,55
E01002313,1056,82
E01002314,1104,93
E01002315,1094,86
E01002316,1092,115
E01002317,1134,27
E01002318,1207,31
E01002319,1180,53
E01002320,1319,30
E01002321,1027,34
E01002322,1515,44
E01002323,1190,49
E01002324,1080,51
E01002325,1161,81
E01002326,1072,73
E01002327,1069,52
E01002328,1239,42
E01002329,1489,50
E01002330,908,52
E01002331,859,37
E01002332,1168,60
E01002333,942,38
E01002334,1252,36
E01002335,1063,41
E01002336,1083,34
E01002337,914,17
E01002338,980,36
E01002339,1155,32
E01002340,993,40
E01002341,976,16
E01002342,1121,73
E01002343,1253,45
E01002344,1118,39
E01002345,1175,107
E01002346,1128,80
E01002347,1029,38
E01002348,1140,22
E01002349,1140,34
E01002350,1150,95
E01002351,1191,51
E01002352,1223,56
E01002353,1481,59
E01002354,958,34
E01002355,1071,25
E01002356,1597,148
E01002358,1407,89
E01002359,938,25
E01002360,963,30
E01002361,1264,66
E01002362,1116,34
E01002363,1144,64
E01002364,1017,26
E01002365,955,28
E01002366,1081,27
E01002367,1165,49
E01002368,1141,114
E01002369,1369,74
E01002370,1425,87
E01002371,1156,65
E01002372,1150,36
E01002373,1119,51
E01002374,1099,44
E01002375,1132,83
E01002376,1074,22
E01002377,955,29
E01002378,1471,30
E01002379,1097,33
E01002380,1597,72
E01002381,1129,34
E01002382,1331,37
E01002383,1158,25
E01002384,1089,23
E01002385,1142,21
E01002386,1344,36
E01002387,1127,17
E01002388,1180,20
E01002389,1380,18
E01002390,778,15
E01002391,1072,26
E01032741,893,48
E01032742,948,62
E01033784,1005,34
E01033785,216,20
E01033786,175,4
E01033787,358,24
E01033788,886,43
E01002392,1075,130
E01002393,1391,181
E01002394,1101,143
E01002395,1054,116
E01002396,1241,145
E01002397,1248,179
E01002398,1312,138
E01002399,1172,108
E01002400,1288,135
E01002401,1224,142
E01002402,1075,120
E01002403,1227,144
E01002404,1259,161
E01002405,1401,172
E01002408,1159,91
E01002409,1248,106
E01002410,1308,82
E01002411,1290,80
E01002412,1787,95
E01002413,1093,100
E01002414,3058,51
E01002415,1256,26
E01002416,1267,44
E01002417,1135,44
E01002418,1234,49
E01002419,1107,34
E01002420,1153,64
E01002421,1196,49
E01002422,1010,73
E01002423,1196,46
E01002424,1136,69
E01002425,1333,170
E01002426,1199,102
E01002427,1084,58
E01002428,1054,57
E01002429,989,91
E01002430,1097,24
E01002431,1004,32
E01002432,1153,46
E01002433,1345,67
E01002434,954,17
E01002435,1051,26
E01002436,1157,44
E01002437,1024,22
E01002438,928,26
E01002439,1125,47
E01002440,1015,48
E01002441,1137,61
E01002442,1118,56
E01002443,1208,107
E01002444,1517,161
E01002445,1042,91
E01002446,1171,77
E01002447,1331,98
E01002448,1448,133
E01002449,1395,106
E01002450,1012,38
E01002451,1082,41
E01002452,1136,41
E01002453,1233,48
E01002454,1203,77
E01002455,1259,100
E01002456,1109,70
E01002457,1138,89
E01002458,1020,20
E01002459,1245,53
E01002460,813,16
E01002461,1075,36
E01002462,992,16
E01002463,1122,22
E01002464,1100,33
E01002465,1108,40
E01002466,1177,32
E01002467,999,23
E01002468,1250,33
E01002469,1247,27
E01002470,1212,43
E01002471,1189,30
E01002472,1166,42
E01002473,1191,46
E01002474,1090,53
E01002475,1075,58
E01002476,1160,44
E01002477,933,54
E01002478,1122,58
E01002479,1202,71
E01002480,1275,41
E01002481,1175,78
E01002482,1138,39
E01002483,1264,71
E01002484,1057,48
E01002485,1261,83
E01002486,1485,150
E01002487,1304,126
E01002488,1219,115
E01002489,1329,137
E01002490,1499,142
E01002491,1118,134
E01002492,1161,98
E01002493,1218,152
E01002494,1252,57
E01002495,1753,60
E01002496,1315,66
E01002497,1318,81
E01002498,1021,38
E01002499,1243,65
E01002501,1210,117
E01002502,1321,157
E01002503,1240,145
E01002505,1213,139
E01002506,1302,187
E01002507,1211,131
E01002508,1204,194
E01002509,1047,49
E01002511,1122,69
E01002512,1282,33
E01002513,1024,39
E01002514,1440,56
E01002516,1081,38
E01002518,1060,41
E01002519,1171,73
E01002520,1200,94
E01002521,1307,84
E01002523,1286,83
E01002525,1218,59
E01002526,1334,124
E01002527,1277,95
E01002528,1196,128
E01002529,1536,101
E01002530,830,76
E01002531,1232,76
E01002533,1061,36
E01002534,1030,37
E01002535,1340,42
E01002536,1021,36
E01002537,1072,34
E01002538,1194,56
E01002539,1079,29
E01002540,1211,147
E01002541,1451,90
E01002542,1303,179
E01002543,1160,141
E01002544,1241,107
E01002545,1001,131
E01002546,1140,105
E01002547,1140,149
E01002548,1114,102
E01002549,1612,89
E01002550,1373,87
E01002551,1089,79
E01002552,1155,89
E01002553,1227,100
E01032577,1225,56
E01034601,758,24
E01034602,443,34
E01034603,184,4
E01034604,1112,76
E01034605,572,38
E01034606,1986,52
E01034607,2376,87
E01034608,1139,93
E01034609,816,79
E01034610,1019,113
E01034611,447,51
E01034612,1247,142
E01034613,254,41
E01034614,930,99
E01034615,713,51
E01034616,371,69
E01034617,1331,157
E01002555,1434,78
E01002556,1190,69
E01002557,1293,80
E01002558,1397,133
E01002559,1657,118
E01002560,1231,99
E01002561,957,98
E01002562,1066,105
E01002563,1288,71
E01002564,1386,123
E01002565,2421,59
E01002567,1378,53
E01002569,1383,37
E01002570,1362,64
E01002571,1013,19
E01002572,1202,115
E01002573,1230,36
E01002574,1190,34
E01002575,1316,44
E01002576,1046,57
E01002577,1498,62
E01002578,1103,37
E01002579,1339,49
E01002580,1068,50
E01002581,1492,45
E01002582,1245,47
E01002583,912,104
E01002584,1264,139
E01002585,1246,125
E01002586,1668,132
E01002587,1436,156
E01002588,1200,200
E01002589,1436,191
E01002590,1361,89
E01002591,1256,77
E01002592,1448,111
E01002593,1559,118
E01002594,1422,113
E01002595,1430,105
E01002596,1515,178
E01002598,1328,121
E01002599,1152,119
E01002600,1096,71
E01002601,1205,57
E01002602,1081,36
E01002603,1362,120
E01002604,1149,155
E01002605,1312,115
E01002606,1183,114
E01002607,1361,93
E01002608,1196,104
E01002609,1289,75
E01002610,1096,86
E01002611,1310,84
E01002612,1219,101
E01002613,1287,105
E01002614,1319,66
E01002615,1073,106
E01002616,978,51
E01002617,1206,40
E01002618,1322,108
E01002619,1448,149
E01002620,1295,147
E01002621,1368,151
E01002622,1317,110
E01002623,1208,135
E01002624,1143,118
E01002625,1289,124
E01002626,1263,127
E01002627,1219,187
E01002628,1491,128
E01002629,1525,143
E01002630,1294,113
E01002631,1195,125
E01002632,1351,122
E01002633,1164,153
E01002634,1164,191
E01002635,1325,146
E01002636,1520,175
E01002637,1230,194
E01002638,1277,207
E01002639,1335,89
E01002640,1449,107
E01002641,1485,137
E01002643,1669,141
E01002645,1599,151
E01002646,1421,208
E01002647,1544,193
E01002649,1436,121
E01002650,1684,168
E01002651,1359,110
E01002652,1373,143
E01002653,1388,105
E01002654,1360,74
E01002655,1411,81
E01002656,968,53
E01002657,1379,66
E01002658,988,31
E01002659,1013,62
E01002660,1380,115
E01002661,1469,134
E01002662,1634,125
E01002663,1870,184
E01002665,1202,139
E01002666,1236,118
E01002667,1195,89
E01002668,1516,85
E01002669,1290,110
E01002670,1308,76
E01002671,1242,65
E01002672,1197,127
E01002673,1102,182
E01002674,1285,67
E01002675,2060,101
E01002676,1324,80
E01002677,977,76
E01002678,1451,81
E01002679,1365,56
E01002680,1512,110
E01002681,1558,107
E01002682,1731,117
E01002686,1323,132
E01002687,1153,35
E01002689,1199,65
E01002690,1128,47
E01002691,1212,64
E01002692,1469,81
E01002693,1248,37
E01032573,1577,41
E01033000,1208,133
E01033030,1319,125
E01033081,1020,67
E01033082,954,64
E01033083,1297,126
E01033084,1326,121
E01034032,1037,104
E01034033,847,51
E01034034,786,57
E01034035,1110,44
E01034036,928,91
E01034037,604,46
E01034038,346,28
E01034039,677,66
E01034040,1041,102
E01034041,988,79
E01034042,494,60
E01034043,692,86
E01034044,432,25
E01034045,686,50
E01034046,1343,182
E01002694,1114,159
E01002695,1349,93
E01002696,1535,97
E01002697,1643,173
E01002698,1745,104
