LSOA code,All usual residents aged 16-74 ,Never worked and long term unemployed
E01000319,1105,58
E01000320,1052,51
E01000321,1289,94
E01000322,1321,92
E01000323,1505,145
E01000324,1284,81
E01033911,1148,85
E01033912,413,55
E01033913,959,122
E01033914,998,140
E01033915,0,0
E01033916,1230,105
E01033917,576,53
E01033918,825,34
E01033919,132,15
E01033920,296,27
E01033921,0,0
E01033922,222,16
E01033923,451,53
E01033924,970,116
E01033925,807,62
E01000325,1187,28
E01000326,963,21
E01000327,1105,20
E01000328,1100,49
E01000329,950,43
E01000330,1086,47
E01000331,1117,64
E01000332,1101,52
E01000333,1169,87
E01000334,1175,38
E01000335,1214,123
E01000336,1342,148
E01000337,1212,76
E01000338,1302,60
E01000339,1085,33
E01000340,821,29
E01000341,1047,32
E01000342,1447,32
E01000343,1098,44
E01000344,1132,20
E01000345,1001,20
E01000346,1154,25
E01000347,1076,37
E01000348,1085,23
E01000349,1144,32
E01000350,1109,27
E01000351,1176,28
E01000352,1130,35
E01000353,1225,24
E01000354,1085,46
E01000355,1067,40
E01000356,1077,32
E01000357,1041,32
E01000358,1179,25
E01000359,953,16
E01000360,1192,67
E01000361,1145,41
E01000362,1039,30
E01000363,1091,39
E01000364,1134,38
E01000365,1136,29
E01000366,1180,39
E01000367,1126,86
E01000368,1056,64
E01000369,1241,40
E01000370,1136,31
E01000371,1152,26
E01000372,1173,103
E01000373,1034,150
E01000374,997,94
E01000375,1078,63
E01000376,1085,42
E01000377,1052,22
E01000379,1184,60
E01000380,1055,51
E01000381,1104,58
E01000382,1096,24
E01000383,1088,45
E01000384,1222,37
E01000385,1270,103
E01000386,984,96
E01000387,1095,36
E01000388,1101,36
E01000389,1216,42
E01000390,935,37
E01000391,1249,57
E01000392,1165,86
E01000393,1199,34
E01000394,1020,25
E01000395,1067,31
E01000396,1026,26
E01000398,1132,73
E01000399,1136,50
E01000400,1109,37
E01000401,1164,64
E01000402,1105,74
E01000403,1435,115
E01000404,1585,161
E01000405,983,68
E01000406,1170,78
E01000407,1065,71
E01000408,1185,93
E01000409,1210,30
E01000410,1152,38
E01000411,1028,31
E01000412,1194,30
E01000413,966,38
E01000414,1209,62
E01000415,1114,40
E01000416,1079,109
E01000417,1238,66
E01000418,1388,94
E01000419,1030,26
E01000420,1146,32
E01000421,1028,23
E01000422,1190,180
E01000423,1154,22
E01000424,1280,37
E01000425,1201,50
E01000426,1233,44
E01000427,1350,42
E01000428,1248,47
E01000429,1161,138
E01000430,1204,93
E01000431,1177,145
E01000433,1218,124
E01000434,1029,99
E01000435,982,66
E01000436,1224,33
E01000437,948,39
E01000438,1167,72
E01000439,980,61
E01000440,1051,26
E01000441,1149,94
E01000442,1132,34
E01000443,908,38
E01000444,1190,32
E01000445,1169,24
E01000446,1174,29
E01000447,1102,25
E01000448,939,17
E01000449,1002,15
E01000450,1257,72
E01000451,1245,37
E01000452,1014,38
E01000453,1063,40
E01000454,1143,50
E01000455,1212,42
E01000456,1026,25
E01000457,1311,55
E01000458,1046,23
E01000459,1168,53
E01000460,1075,21
E01000461,1255,16
E01000462,1135,34
E01000463,920,19
E01000464,1034,104
E01000465,1135,127
E01000466,1170,146
E01000467,1145,119
E01000468,1798,143
E01000469,1214,101
E01000470,1004,121
E01032566,1212,87
E01033789,224,4
E01033790,882,77
E01033791,580,29
