lsoa2011:E01004740 : Westminster 021A,66.7
lsoa2011:E01004743 : Westminster 021B,55.9
lsoa2011:E01004745 : Westminster 021C,76
lsoa2011:E01004746 : Westminster 021D,63.7
lsoa2011:E01004747 : Westminster 021E,71.3
lsoa2011:E01004742 : Westminster 022A,85.8
lsoa2011:E01004749 : Westminster 022B,74.4
lsoa2011:E01004751 : Westminster 022C,83.9
lsoa2011:E01004752 : Westminster 022D,75.6
lsoa2011:E01004753 : Westminster 022E,78.7
lsoa2011:E01004666 : Westminster 023B,63.9
lsoa2011:E01004667 : Westminster 023C,70.5
lsoa2011:E01004668 : Westminster 023D,69.6
lsoa2011:E01004750 : Westminster 023E,67.9
lsoa2011:E01033597 : Westminster 023F,65.8
lsoa2011:E01033599 : Westminster 023G,49.3
lsoa2011:E01004665 : Westminster 024A,51.5
lsoa2011:E01004669 : Westminster 024B,58.1
lsoa2011:E01004737 : Westminster 024C,75.6
lsoa2011:E01004738 : Westminster 024D,81.6
lsoa2011:E01004739 : Westminster 024E,85.5
lsoa2011:E01004741 : Westminster 024F,74.4
lsoa2011:E01002852 : Kensington and Chelsea 001A,41.5
lsoa2011:E01002853 : Kensington and Chelsea 001B,47.1
lsoa2011:E01002854 : Kensington and Chelsea 001C,47.8
lsoa2011:E01002855 : Kensington and Chelsea 001D,44.3
lsoa2011:E01002857 : Kensington and Chelsea 001E,40.6
lsoa2011:E01002904 : Kensington and Chelsea 002A,45.4
lsoa2011:E01002905 : Kensington and Chelsea 002B,57
lsoa2011:E01002906 : Kensington and Chelsea 002C,64
lsoa2011:E01002907 : Kensington and Chelsea 002D,52.1
lsoa2011:E01002876 : Kensington and Chelsea 003A,78.8
lsoa2011:E01002877 : Kensington and Chelsea 003B,50.4
lsoa2011:E01002878 : Kensington and Chelsea 003C,67.5
lsoa2011:E01002908 : Kensington and Chelsea 003D,73.2
lsoa2011:E01002909 : Kensington and Chelsea 003E,73.8
lsoa2011:E01002829 : Kensington and Chelsea 004A,65
lsoa2011:E01002830 : Kensington and Chelsea 004B,61
lsoa2011:E01002831 : Kensington and Chelsea 004C,63.1
lsoa2011:E01002832 : Kensington and Chelsea 004D,62.4
lsoa2011:E01002856 : Kensington and Chelsea 004E,65
lsoa2011:E01002870 : Kensington and Chelsea 005A,59.5
lsoa2011:E01002872 : Kensington and Chelsea 005B,67.6
lsoa2011:E01002879 : Kensington and Chelsea 005C,47.1
lsoa2011:E01002880 : Kensington and Chelsea 005D,37.9
lsoa2011:E01002881 : Kensington and Chelsea 005E,60
lsoa2011:E01002882 : Kensington and Chelsea 006A,81.6
lsoa2011:E01002883 : Kensington and Chelsea 006B,78.8
lsoa2011:E01002884 : Kensington and Chelsea 006C,72.4
lsoa2011:E01002885 : Kensington and Chelsea 006D,75.6
lsoa2011:E01002886 : Kensington and Chelsea 006E,81.1
lsoa2011:E01002833 : Kensington and Chelsea 007A,80.9
lsoa2011:E01002871 : Kensington and Chelsea 007B,83.7
lsoa2011:E01002873 : Kensington and Chelsea 007C,78.4
lsoa2011:E01002874 : Kensington and Chelsea 007D,74.8
lsoa2011:E01002875 : Kensington and Chelsea 007E,80.6
lsoa2011:E01002824 : Kensington and Chelsea 008A,80.2
lsoa2011:E01002825 : Kensington and Chelsea 008B,72.1
lsoa2011:E01002826 : Kensington and Chelsea 008C,78.6
lsoa2011:E01002827 : Kensington and Chelsea 008D,82.3
lsoa2011:E01002828 : Kensington and Chelsea 008E,81.3
lsoa2011:E01002864 : Kensington and Chelsea 009A,67.5
lsoa2011:E01002866 : Kensington and Chelsea 009B,66.5
lsoa2011:E01002867 : Kensington and Chelsea 009C,56.9
lsoa2011:E01002868 : Kensington and Chelsea 009D,78.9
lsoa2011:E01002869 : Kensington and Chelsea 009E,69.5
lsoa2011:E01002887 : Kensington and Chelsea 010A,72.8
lsoa2011:E01002889 : Kensington and Chelsea 010B,73.3
lsoa2011:E01002890 : Kensington and Chelsea 010C,79.2
lsoa2011:E01002891 : Kensington and Chelsea 010D,71.1
lsoa2011:E01002892 : Kensington and Chelsea 010E,68.1
lsoa2011:E01002813 : Kensington and Chelsea 011A,79.3
lsoa2011:E01002815 : Kensington and Chelsea 011B,64.4
lsoa2011:E01002816 : Kensington and Chelsea 011C,75.8
lsoa2011:E01002817 : Kensington and Chelsea 011D,75.8
lsoa2011:E01002865 : Kensington and Chelsea 011E,71.9
lsoa2011:E01002818 : Kensington and Chelsea 012A,71.2
lsoa2011:E01002819 : Kensington and Chelsea 012B,78.8
lsoa2011:E01002859 : Kensington and Chelsea 012C,82.6
lsoa2011:E01002860 : Kensington and Chelsea 012D,86.1
lsoa2011:E01002863 : Kensington and Chelsea 012E,80.3
lsoa2011:E01002812 : Kensington and Chelsea 013A,64.3
lsoa2011:E01002834 : Kensington and Chelsea 013B,72.7
lsoa2011:E01002839 : Kensington and Chelsea 013C,64.3
lsoa2011:E01002850 : Kensington and Chelsea 013D,58.2
lsoa2011:E01002888 : Kensington and Chelsea 013E,65
lsoa2011:E01002821 : Kensington and Chelsea 014A,75.6
lsoa2011:E01002823 : Kensington and Chelsea 014B,71.7
lsoa2011:E01002858 : Kensington and Chelsea 014C,59.8
lsoa2011:E01002861 : Kensington and Chelsea 014D,82.2
lsoa2011:E01002862 : Kensington and Chelsea 014E,65.7
lsoa2011:E01002814 : Kensington and Chelsea 015A,49.1
lsoa2011:E01002847 : Kensington and Chelsea 015B,71.8
lsoa2011:E01002848 : Kensington and Chelsea 015C,64.6
lsoa2011:E01002851 : Kensington and Chelsea 015D,55.2
lsoa2011:E01002820 : Kensington and Chelsea 016A,75.1
lsoa2011:E01002822 : Kensington and Chelsea 016B,84
lsoa2011:E01002835 : Kensington and Chelsea 016C,75.4
lsoa2011:E01002836 : Kensington and Chelsea 016D,77.7
lsoa2011:E01002837 : Kensington and Chelsea 016E,85
lsoa2011:E01002846 : Kensington and Chelsea 017A,65.8
lsoa2011:E01002849 : Kensington and Chelsea 017B,72.2
lsoa2011:E01002893 : Kensington and Chelsea 017C,77.2
lsoa2011:E01002894 : Kensington and Chelsea 017D,76.6
lsoa2011:E01002898 : Kensington and Chelsea 017E,81.8
lsoa2011:E01002899 : Kensington and Chelsea 018A,79.4
lsoa2011:E01002900 : Kensington and Chelsea 018B,86.1
lsoa2011:E01002901 : Kensington and Chelsea 018C,88.6
lsoa2011:E01002902 : Kensington and Chelsea 018D,81.1
lsoa2011:E01002903 : Kensington and Chelsea 018E,88.6
lsoa2011:E01002844 : Kensington and Chelsea 019A,82.1
lsoa2011:E01002845 : Kensington and Chelsea 019B,77.4
lsoa2011:E01002910 : Kensington and Chelsea 019C,81.5
