LSOA Code,2011_summary,2021_summary,Population_2021,Population_2011,crime_2011,crime_2021
E01000123,80,111,1757,1664,0.04807692307692308,0.06317586795674444
E01000124,211,259,1875,1620,0.13024691358024693,0.13813333333333333
E01000126,94,138,2239,2164,0.04343807763401109,0.06163465832961143
E01000127,70,105,1565,1511,0.04632693580410324,0.0670926517571885
E01000128,94,112,2047,1871,0.05024051309460182,0.05471421592574499
E01000129,249,305,1589,1783,0.13965227145260797,0.1919446192573946
E01000130,75,100,1916,1608,0.04664179104477612,0.05219206680584551
E01000131,77,127,2001,1809,0.04256495301271421,0.06346826586706647
E01000132,80,83,1596,1490,0.053691275167785234,0.05200501253132832
E01000133,80,94,1659,1604,0.04987531172069826,0.056660638939119955
E01000134,45,83,1827,1646,0.027339003645200487,0.04542966611932129
E01000135,100,87,1706,1564,0.0639386189258312,0.050996483001172335
E01000136,102,77,1454,1534,0.06649282920469361,0.05295735900962861
E01000137,69,117,1657,1733,0.03981534910559723,0.07060953530476766
E01000138,113,98,1600,1454,0.07771664374140302,0.06125
E01000139,141,68,1403,1433,0.09839497557571528,0.048467569493941556
E01000140,97,137,1912,1644,0.05900243309002433,0.07165271966527197
E01000141,502,441,1861,2128,0.23590225563909775,0.2369693713057496
E01000142,126,113,2187,2393,0.05265357292101964,0.051668952903520804
E01000143,157,163,1675,1467,0.10702113156100886,0.09731343283582089
E01000144,169,172,1656,1551,0.10896196002578981,0.10386473429951691
E01000145,69,101,1625,1525,0.04524590163934426,0.06215384615384616
E01000146,334,391,1859,1736,0.1923963133640553,0.2103281334050565
E01000147,58,67,1953,1750,0.03314285714285714,0.03430619559651818
E01000150,214,301,2246,2074,0.10318225650916105,0.1340160284951024
E01000151,143,199,1720,1713,0.08347927612375948,0.11569767441860465
E01000152,105,141,2681,1728,0.06076388888888889,0.0525923162998881
E01000153,97,109,1898,1550,0.06258064516129032,0.05742887249736565
E01000154,69,137,1892,1364,0.050586510263929615,0.07241014799154334
E01000156,128,78,2021,1891,0.06768905341089371,0.03859475507174666
E01000157,58,42,1585,1548,0.037467700258397935,0.026498422712933754
E01000158,111,96,1482,1479,0.07505070993914807,0.06477732793522267
E01000159,133,118,1771,1781,0.0746771476698484,0.06662902315076229
E01000160,171,185,1921,2078,0.08229066410009625,0.09630400832899531
E01000161,121,121,2012,1833,0.06601200218221495,0.060139165009940355
E01000162,107,164,1672,1594,0.0671267252195734,0.09808612440191387
E01000163,89,161,1654,1563,0.05694177863083813,0.0973397823458283
E01000164,308,237,1716,1697,0.18149675898644668,0.1381118881118881
E01000165,47,59,1769,1861,0.02525523911875336,0.03335217637083098
E01000166,64,72,1652,1584,0.04040404040404041,0.043583535108958835
E01000167,61,90,1376,1314,0.04642313546423135,0.06540697674418605
E01000168,78,58,1499,1564,0.049872122762148335,0.038692461641094064
E01000169,65,72,1611,1491,0.043594902749832326,0.0446927374301676
E01000170,113,161,1899,1637,0.06902871105681124,0.08478146392838336
E01000171,198,279,2259,1856,0.10668103448275862,0.12350597609561753
E01000172,69,56,1685,1683,0.040998217468805706,0.03323442136498516
E01000173,53,62,1646,1728,0.030671296296296297,0.03766707168894289
E01000174,124,205,1760,1729,0.07171775592828225,0.11647727272727272
E01000175,70,57,2028,1578,0.044359949302915085,0.028106508875739646
E01000176,72,93,1723,1621,0.04441702652683529,0.053975623911781775
E01000177,113,85,1654,1641,0.06886045094454601,0.051390568319226115
E01000178,105,93,1640,1800,0.058333333333333334,0.056707317073170734
E01000179,80,70,1767,1622,0.04932182490752158,0.039615166949632144
E01000180,61,64,1638,1607,0.037958929682638455,0.03907203907203907
E01000181,134,138,1710,1719,0.07795229784758581,0.08070175438596491
E01000182,125,120,1621,1698,0.07361601884570082,0.07402837754472548
E01000183,61,54,1524,1471,0.04146838885112169,0.03543307086614173
E01000184,123,114,1881,1418,0.08674188998589563,0.06060606060606061
E01000185,95,94,1457,1456,0.06524725274725275,0.06451612903225806
E01000186,43,45,1803,1616,0.026608910891089108,0.024958402662229616
E01000187,67,52,1762,1659,0.04038577456298975,0.029511918274687854
E01000188,125,112,1572,1551,0.08059316569954868,0.07124681933842239
E01000189,160,129,2439,1832,0.08733624454148471,0.05289052890528905
E01000190,55,79,1761,1577,0.03487634749524413,0.044860874503123226
E01000191,42,58,1555,1524,0.027559055118110236,0.03729903536977492
E01000192,238,211,2006,1860,0.12795698924731183,0.10518444666001994
E01000193,385,365,1935,1714,0.2246207701283547,0.18863049095607234
E01000194,161,226,1891,1648,0.09769417475728155,0.1195134849286092
E01000195,167,208,2004,1794,0.09308807134894091,0.10379241516966067
E01000196,145,210,2145,1816,0.07984581497797356,0.0979020979020979
E01000197,81,91,1828,1840,0.044021739130434785,0.049781181619256015
E01000198,92,112,2172,1899,0.04844655081621906,0.05156537753222836
E01000199,75,68,1611,1620,0.046296296296296294,0.04220980757293606
E01000200,64,68,2008,1851,0.03457590491626148,0.03386454183266932
E01000201,108,70,1538,1536,0.0703125,0.045513654096228866
E01000202,42,72,1689,1757,0.02390438247011952,0.04262877442273535
E01000203,104,145,1841,1722,0.06039488966318235,0.07876154263986963
E01000204,81,82,1715,1729,0.04684788895315211,0.0478134110787172
E01000205,108,84,1506,1528,0.07068062827225131,0.055776892430278883
E01000206,211,120,1487,1567,0.13465220165922145,0.08069939475453934
E01000207,117,91,1607,1583,0.0739102969046115,0.0566272557560672
E01000208,98,87,1639,1601,0.061211742660836975,0.05308114704087859
E01000209,99,78,1516,1567,0.0631780472239949,0.051451187335092345
E01000210,92,66,1545,1551,0.05931656995486783,0.04271844660194175
E01000211,247,221,2122,2036,0.12131630648330059,0.10414703110273327
E01000212,75,78,1372,1428,0.052521008403361345,0.056851311953352766
E01000213,87,59,1397,1441,0.06037473976405274,0.04223335719398712
E01000214,94,122,1625,1676,0.05608591885441527,0.07507692307692308
E01000215,108,86,2169,2056,0.05252918287937743,0.0396496081143384
E01000216,74,87,1969,1975,0.03746835443037975,0.04418486541391569
E01000217,55,66,1797,1737,0.03166378814047208,0.03672787979966611
E01000218,92,131,1830,1838,0.05005440696409141,0.0715846994535519
E01000219,84,144,2188,1911,0.04395604395604396,0.06581352833638025
E01000220,98,96,1885,1881,0.052099946836788945,0.05092838196286472
E01000221,393,318,1392,1292,0.3041795665634675,0.22844827586206898
E01000222,109,112,2003,1588,0.06863979848866499,0.05591612581128307
E01000223,219,246,2037,1292,0.16950464396284828,0.12076583210603829
E01000224,74,75,1706,1562,0.04737516005121639,0.043962485345838215
E01000225,53,59,1858,1782,0.02974186307519641,0.031754574811625406
E01000226,76,99,1750,1767,0.043010752688172046,0.05657142857142857
E01000227,73,65,1908,1863,0.039184111647879764,0.034067085953878404
E01000228,89,96,1461,1485,0.059932659932659935,0.06570841889117043
E01000229,67,56,1650,1674,0.04002389486260454,0.03393939393939394
E01000230,51,61,1982,1786,0.02855543113101904,0.03077699293642785
E01000231,158,96,1777,1852,0.08531317494600432,0.05402363534046145
E01000232,90,101,1866,1843,0.048833423765599564,0.05412647374062165
E01000233,111,134,1922,1825,0.060821917808219175,0.06971904266389178
E01000234,59,81,1786,1706,0.03458382180539273,0.04535274356103024
E01000235,107,116,1828,1696,0.06308962264150944,0.06345733041575492
E01000236,86,78,1936,1881,0.045720361509835196,0.040289256198347105
E01000237,178,206,2101,2063,0.08628211342704799,0.09804854831032842
E01000238,80,113,2073,1977,0.04046535154274153,0.05451037144235408
E01000239,126,121,2049,1985,0.06347607052896725,0.05905319668130796
E01000240,112,103,1746,1678,0.066746126340882,0.05899198167239404
E01000241,85,108,1806,1752,0.048515981735159815,0.059800664451827246
E01000242,98,74,1637,1650,0.059393939393939395,0.04520464263897373
E01000243,174,172,2152,1903,0.09143457698370994,0.07992565055762081
E01000244,117,160,1639,1714,0.06826137689614936,0.09762050030506407
E01000245,211,237,2065,1998,0.10560560560560561,0.11476997578692494
E01000246,64,44,1556,1504,0.0425531914893617,0.028277634961439587
E01000247,109,89,1682,1693,0.06438275251033668,0.05291319857312723
E01000248,144,127,1713,1668,0.08633093525179857,0.07413893753648569
E01000249,81,44,1640,1526,0.05307994757536042,0.026829268292682926
E01000250,321,265,2611,2242,0.1431757359500446,0.10149368058215243
E01000251,134,228,2259,1856,0.07219827586206896,0.10092961487383798
E01000252,98,79,1733,1610,0.06086956521739131,0.04558568955568378
E01000253,125,84,1981,1679,0.07444907683144729,0.04240282685512368
E01000254,87,56,1617,1545,0.05631067961165048,0.03463203463203463
E01000255,95,111,1687,1488,0.06384408602150538,0.06579727326615294
E01000256,91,73,1931,1789,0.05086640581330352,0.03780424650440187
E01000257,206,170,2074,1860,0.110752688172043,0.08196721311475409
E01000258,153,173,1886,1660,0.09216867469879518,0.09172852598091198
E01000259,179,119,2668,2599,0.06887264332435553,0.04460269865067466
E01000260,244,122,2137,1992,0.12248995983935743,0.05708937763219467
E01000261,73,41,1763,1596,0.045739348370927316,0.023255813953488372
E01000263,40,52,1559,1584,0.025252525252525252,0.03335471456061578
E01000264,227,256,1819,1658,0.13691194209891436,0.14073666849917538
E01000265,89,79,1918,1929,0.04613789528252981,0.04118873826903024
E01000266,59,51,1459,1527,0.038637851997380485,0.03495544893762851
E01000267,51,50,1572,1524,0.03346456692913386,0.031806615776081425
E01000268,189,257,2063,1743,0.10843373493975904,0.1245758603974794
E01000269,71,56,1380,1433,0.04954640614096301,0.04057971014492753
E01000270,60,51,1540,1487,0.04034969737726967,0.033116883116883114
E01000271,82,110,1641,1469,0.055820285908781485,0.06703229737964655
E01000272,54,55,1400,1338,0.04035874439461883,0.039285714285714285
E01000273,105,116,1681,1510,0.0695364238410596,0.06900654372397383
E01000274,139,95,1943,1864,0.07457081545064377,0.048893463715903245
E01000275,40,47,1764,1638,0.02442002442002442,0.026643990929705215
E01000276,37,31,1489,1521,0.024326101249178174,0.020819341840161182
E01000277,59,63,1678,1601,0.03685196752029981,0.037544696066746125
E01000278,55,46,1471,1516,0.036279683377308705,0.03127124405166554
E01000279,81,48,1404,1447,0.05597788527988943,0.03418803418803419
E01000280,36,48,1360,1382,0.02604920405209841,0.03529411764705882
E01000281,210,147,1793,1262,0.1664025356576862,0.08198549916341327
E01000282,69,78,1794,1708,0.04039812646370024,0.043478260869565216
E01000283,44,41,1362,1431,0.030747728860936407,0.03010279001468429
E01000284,83,73,1835,1675,0.04955223880597015,0.03978201634877384
E01000285,38,50,1535,1443,0.026334026334026334,0.03257328990228013
E01000286,55,83,1726,1578,0.03485424588086185,0.04808806488991889
E01000287,83,59,1667,1588,0.052267002518891686,0.03539292141571686
E01000288,84,60,1542,1572,0.05343511450381679,0.038910505836575876
E01000289,161,115,1588,1812,0.08885209713024282,0.07241813602015114
E01000290,74,94,1603,1552,0.04768041237113402,0.058640049906425455
E01000291,119,70,1568,1579,0.07536415452818239,0.044642857142857144
E01000292,126,85,1559,1467,0.08588957055214724,0.05452212957023733
E01000293,99,65,1758,1723,0.057457922228670924,0.036973833902161544
E01000294,132,170,1791,1594,0.08281053952321205,0.09491903964265773
E01000295,66,110,1618,1718,0.03841676367869616,0.06798516687268233
E01000296,153,207,1777,1713,0.0893169877408056,0.11648846370287
E01000297,64,59,1424,1440,0.044444444444444446,0.04143258426966292
E01000298,156,163,1726,1817,0.08585580627407816,0.09443800695249131
E01000299,279,196,2193,1814,0.15380374862183022,0.08937528499772002
E01000300,51,50,1664,1637,0.031154551007941355,0.030048076923076924
E01000301,56,43,1485,1537,0.03643461288223813,0.028956228956228958
E01000302,111,115,1784,1771,0.06267645398080181,0.06446188340807175
E01000303,66,41,1511,1569,0.04206500956022945,0.027134348113831898
E01000304,49,73,1555,1560,0.03141025641025641,0.04694533762057878
E01000305,167,224,1635,1668,0.10011990407673861,0.13700305810397553
E01000306,76,43,2011,1706,0.044548651817116064,0.02138239681750373
E01000307,606,803,1645,1660,0.3650602409638554,0.48814589665653496
E01000308,102,101,2108,1525,0.06688524590163934,0.04791271347248577
E01000309,82,76,2062,1833,0.0447354064375341,0.03685741998060136
E01000310,220,253,2194,2045,0.10757946210268948,0.11531449407474932
E01000311,97,117,1752,1632,0.05943627450980392,0.06678082191780822
E01000312,88,165,1802,1672,0.05263157894736842,0.09156492785793563
E01000313,129,140,1896,1876,0.06876332622601279,0.07383966244725738
E01000314,202,164,2170,1882,0.1073326248671626,0.07557603686635944
E01000315,129,98,1714,1715,0.07521865889212828,0.057176196032672114
E01000316,429,267,2280,2331,0.18404118404118405,0.11710526315789474
E01000317,76,76,1622,1616,0.04702970297029703,0.0468557336621455
E01000318,100,86,1916,1832,0.05458515283842795,0.04488517745302714
E01000319,77,58,1377,1505,0.05116279069767442,0.04212055192447349
E01000320,65,61,1935,1475,0.04406779661016949,0.03152454780361757
E01000321,136,128,1949,1639,0.08297742525930446,0.06567470497691123
E01000322,134,106,1855,1719,0.07795229784758581,0.05714285714285714
E01000323,250,324,2386,2002,0.12487512487512488,0.1357921207041073
E01000324,96,79,1795,1791,0.05360134003350084,0.04401114206128134
E01000325,44,55,1677,1615,0.027244582043343655,0.032796660703637445
E01000326,57,57,1409,1304,0.04371165644171779,0.04045422285308729
E01000327,25,45,1609,1542,0.01621271076523995,0.027967681789931635
E01000328,53,70,1649,1485,0.03569023569023569,0.04244996967859309
E01000329,64,70,1689,1317,0.04859529233105543,0.04144464179988159
E01000330,84,229,1644,1547,0.05429864253393665,0.13929440389294404
E01000331,67,130,1710,1632,0.04105392156862745,0.07602339181286549
E01000332,85,62,1561,1533,0.055446836268754074,0.03971812940422806
E01000333,131,163,1901,1673,0.07830245068738792,0.08574434508153603
E01000334,34,64,1690,1616,0.02103960396039604,0.0378698224852071
E01000335,197,304,2741,1817,0.10842047330764998,0.11090842758117475
E01000336,148,206,1998,1915,0.07728459530026109,0.1031031031031031
E01000337,84,88,1706,1666,0.05042016806722689,0.05158264947245018
E01000338,83,81,1853,1774,0.0467869222096956,0.04371289800323799
E01000339,41,55,1615,1529,0.026814911706998037,0.034055727554179564
E01000340,55,31,1578,1504,0.036569148936170214,0.01964512040557668
E01000341,25,41,1536,1491,0.01676727028839705,0.026692708333333332
E01000342,32,35,1517,1602,0.019975031210986267,0.023071852340145024
E01000343,61,75,1506,1533,0.03979125896934116,0.049800796812749
E01000344,51,66,1623,1613,0.03161810291382517,0.04066543438077634
E01000345,16,31,1324,1358,0.011782032400589101,0.023413897280966767
E01000346,40,69,1571,1627,0.024585125998770743,0.04392106938255888
E01000347,46,58,1520,1485,0.030976430976430977,0.038157894736842106
E01000348,17,29,1469,1486,0.011440107671601614,0.019741320626276378
E01000349,44,47,1727,1660,0.02650602409638554,0.02721482339316734
E01000350,45,49,1516,1506,0.029880478087649404,0.032321899736147755
E01000351,34,46,1608,1588,0.021410579345088162,0.028606965174129355
E01000352,138,167,1653,1572,0.08778625954198473,0.10102843315184513
E01000353,32,37,1655,1684,0.019002375296912115,0.022356495468277945
E01000354,40,53,1481,1507,0.026542800265428004,0.03578663065496286
E01000355,23,36,1460,1461,0.01574264202600958,0.024657534246575342
E01000356,56,59,1564,1545,0.036245954692556634,0.037723785166240406
E01000357,28,22,1392,1459,0.019191226867717615,0.015804597701149427
E01000358,88,65,1674,1610,0.0546583850931677,0.03882915173237754
E01000359,43,40,1298,1281,0.03356752537080406,0.030816640986132512
E01000360,478,404,1902,1668,0.2865707434052758,0.21240799158780233
E01000361,33,32,1611,1544,0.021373056994818652,0.019863438857852266
E01000362,420,524,1904,1484,0.2830188679245283,0.27521008403361347
E01000363,38,47,1585,1436,0.026462395543175487,0.02965299684542587
E01000364,41,55,1699,1583,0.025900189513581806,0.032371983519717484
E01000365,73,113,1736,1681,0.04342653182629387,0.06509216589861751
E01000366,51,62,1667,1589,0.032095657646318436,0.03719256148770246
E01000367,89,114,2303,1581,0.056293485135989876,0.04950065132435953
E01000368,61,80,1700,1549,0.039380245319561004,0.047058823529411764
E01000369,35,53,1725,1624,0.021551724137931036,0.03072463768115942
E01000370,43,47,1574,1599,0.02689180737961226,0.02986022871664549
E01000371,43,51,1632,1552,0.027706185567010308,0.03125
E01000372,72,109,1705,1683,0.0427807486631016,0.06392961876832845
E01000373,107,82,1332,1607,0.06658369632856254,0.06156156156156156
E01000374,87,112,1558,1543,0.056383668178872325,0.07188703465982028
E01000375,60,107,2118,1478,0.04059539918809202,0.05051935788479698
E01000376,72,57,1606,1547,0.04654169360051713,0.03549190535491906
E01000377,42,108,1461,1424,0.02949438202247191,0.07392197125256673
E01000379,42,78,1714,1690,0.02485207100591716,0.045507584597432905
E01000380,78,100,1744,1456,0.05357142857142857,0.05733944954128441
E01000381,65,97,1623,1601,0.04059962523422861,0.05976586568083796
E01000382,24,38,1620,1525,0.015737704918032787,0.02345679012345679
E01000383,50,86,1602,1502,0.033288948069241014,0.05368289637952559
E01000384,42,61,1729,1726,0.02433371958285052,0.035280508964719494
E01000385,132,157,2008,1891,0.06980433632998413,0.07818725099601594
E01000386,143,179,1510,1463,0.09774436090225563,0.1185430463576159
E01000387,30,42,1564,1535,0.019543973941368076,0.026854219948849106
E01000388,61,40,1514,1531,0.039843239712606136,0.026420079260237782
E01000389,119,81,1700,1653,0.07199032062915911,0.04764705882352941
E01000390,61,58,1344,1291,0.047250193648334625,0.043154761904761904
E01000391,41,68,1752,1723,0.02379570516540917,0.03881278538812785
E01000392,197,182,1969,1651,0.11932162325863113,0.09243270695784662
E01000393,69,69,1660,1581,0.04364326375711575,0.04156626506024096
E01000394,54,78,1629,1462,0.036935704514363885,0.04788213627992634
E01000395,66,44,1553,1432,0.046089385474860335,0.028332260141661302
E01000396,34,27,1447,1399,0.024303073624017155,0.018659295093296474
E01000398,33,46,1604,1605,0.020560747663551402,0.028678304239401497
E01000399,71,62,1564,1563,0.045425463851567496,0.03964194373401535
E01000400,55,59,1567,1550,0.035483870967741936,0.03765156349712827
E01000401,100,90,1822,1653,0.060496067755595885,0.04939626783754116
E01000402,64,115,1598,1538,0.04161248374512354,0.07196495619524405
E01000403,307,555,2382,2120,0.14481132075471698,0.23299748110831234
E01000404,150,249,2406,2292,0.06544502617801047,0.10349127182044887
E01000405,70,108,1550,1423,0.049191848208011243,0.0696774193548387
E01000406,88,119,2151,1658,0.05307599517490953,0.055323105532310554
E01000407,55,82,1862,1472,0.03736413043478261,0.04403866809881848
E01000408,147,176,1766,1651,0.08903694730466384,0.09966024915062288
E01000409,26,22,1767,1649,0.015767131594906003,0.01245048104131296
E01000410,60,81,1705,1571,0.03819223424570337,0.04750733137829912
E01000411,33,42,1495,1398,0.023605150214592276,0.028093645484949834
E01000412,62,77,1741,1688,0.03672985781990521,0.04422745548535324
E01000413,67,104,1386,1301,0.05149884704073789,0.07503607503607504
E01000414,176,198,1881,1717,0.1025043680838672,0.10526315789473684
E01000415,22,33,1455,1499,0.01467645096731154,0.02268041237113402
E01000416,218,228,1595,1549,0.1407359586830213,0.14294670846394986
E01000417,105,102,1724,1648,0.06371359223300971,0.05916473317865429
E01000418,77,69,1934,1949,0.03950743971267317,0.035677352637021716
E01000419,31,47,1508,1455,0.021305841924398626,0.03116710875331565
E01000420,38,40,1490,1552,0.024484536082474227,0.026845637583892617
E01000421,22,21,1560,1477,0.014895057549085985,0.013461538461538462
E01000422,119,103,1299,1753,0.06788362806617228,0.07929176289453425
E01000423,18,31,1647,1641,0.010968921389396709,0.018822100789313904
E01000424,62,55,1704,1688,0.03672985781990521,0.03227699530516432
E01000425,30,19,1794,1746,0.01718213058419244,0.010590858416945374
E01000426,53,49,1664,1683,0.0314913844325609,0.029447115384615384
E01000427,77,80,2000,1922,0.040062434963579606,0.04
E01000428,170,180,1893,1749,0.09719839908519154,0.09508716323296355
E01000429,198,210,1678,1663,0.1190619362597715,0.12514898688915377
E01000430,82,139,2078,1798,0.04560622914349277,0.06689124157844081
E01000431,162,119,1201,1681,0.09637120761451518,0.09908409658617819
E01000433,181,219,1910,1825,0.09917808219178083,0.11465968586387434
E01000434,78,111,1601,1592,0.048994974874371856,0.0693316677076827
E01000435,98,167,1504,1411,0.06945428773919206,0.1110372340425532
E01000436,29,32,1743,1682,0.017241379310344827,0.01835915088927137
E01000437,51,52,1354,1322,0.038577912254160365,0.03840472673559823
E01000438,38,77,1715,1605,0.02367601246105919,0.044897959183673466
E01000439,127,134,1431,1369,0.09276844411979547,0.0936408106219427
E01000440,24,23,1366,1409,0.017033356990773598,0.01683748169838946
E01000441,103,130,1805,1601,0.06433479075577764,0.07202216066481995
