Area,ethnic_2011,ethnic_2021,education_2011,education_2021,elderly_2011,elderly_2021,unemployed_2011,unemployed_2021,median_house_price_2011,median_house_price_2021,crime_2011,crime_2021,gentrification_score
E01003689,0.851,0.859,0.694,0.58,0.116,0.098,0.215940686,0.215463331,58000,260000,0.62084118,0.566816143,0.756947146
E01033589,0.859,0.887,0.411,0.44,0.02,0.012,0.126893939,0.192133132,153500,250250,0.299883314,0.215544041,0.748070048
E01033591,0.768,0.779,0.711,0.576,0.065,0.063,0.190082645,0.165986395,201000,375000,0.156459084,0.102709936,0.392420395
E01003737,0.721,0.89,0.688,0.602,0.163,0.11,0.088729017,0.106791569,310000,700000,0.071786311,0.03813415,0.537077882
E01003738,0.712,0.833,0.722,0.629,0.114,0.111,0.101536406,0.128440367,276000,472500,0.061739944,0.047459051,-0.059678349
E01003739,0.751,0.838,0.671,0.632,0.084,0.094,0.121031746,0.154867257,250000,473500,0.077994429,0.075859179,-0.018374285
E01003740,0.755,0.836,0.66,0.632,0.119,0.123,0.11233632,0.144811859,269000,509000,0.089638554,0.077817531,0.073538478
E01003741,0.574,0.75,0.743,0.658,0.188,0.149,0.095277548,0.148100451,275000,467500,0.060103034,0.050317538,-0.047005754
E01003742,0.778,0.798,0.704,0.668,0.065,0.068,0.127615063,0.169938306,242000,442500,0.052186178,0.051709758,0.080984188
E01003743,0.826,0.812,0.729,0.663,0.096,0.113,0.165841584,0.162087912,230000,510000,0.085746102,0.073796791,0.339429246
E01003728,0.842,0.445219575,0.596,0.537669242,0.058,0.125633398,0.08169464,0.102151742,193250,260000,0.085342529,0.079747003,0.300843031
E01003729,0.876,0.854,0.745,0.665,0.101,0.078,0.222689076,0.214339623,240000,410000,0.132245357,0.170480549,0.653920628
E01003730,0.898,0.862,0.721,0.69,0.059,0.079,0.233835252,0.20545977,249995,500000,0.048837209,0.068403909,0.38178849
E01003732,0.763,0.804,0.703,0.651,0.101,0.079,0.248484848,0.229215229,143000,500000,0.080886759,0.072717332,0.945676672
E01003733,0.827,0.845,0.649,0.636,0.056,0.077,0.155502392,0.165697674,202500,375000,0.1,0.081887202,0.084001279
E01003731,0.812,0.868,0.714,0.644,0.064,0.079,0.175609756,0.178308824,243043,387500,0.078947368,0.075976845,-0.005429979
E01003734,0.805,0.826,0.708,0.686,0.108,0.085,0.146218487,0.181085044,247500,437000,0.101872247,0.099728997,0.454190537
E01003735,0.82,0.828,0.727,0.656,0.085,0.087,0.218382861,0.211720227,159500,250000,0.086336966,0.088709677,0.252587
E01003736,0.867,0.696,0.672,0.659,0.045,0.037,0.174070716,0.199015471,217500,380000,0.052787663,0.038613861,0.744469809
E01003713,0.803,0.818,0.688,0.639,0.1,0.113,0.1456,0.163834126,270000,480000,0.059023837,0.052266667,0.116139762
E01003714,0.822,0.807,0.727,0.645,0.087,0.079,0.144850498,0.15078933,222000,455000,0.082993197,0.087064677,0.46542435
E01003715,0.819,0.843,0.69,0.655,0.077,0.096,0.148148148,0.140023337,250000,487500,0.061667489,0.07133059,0.265382646
E01003716,0.711,0.779,0.679,0.562,0.085,0.133,0.125401929,0.156443832,320000,543750,0.085118703,0.063117453,-0.443306485
E01003718,0.769,0.787,0.637,0.575,0.059,0.07,0.156906907,0.157219973,222500,512000,0.055378062,0.063523573,0.275597817
E01003719,0.771,0.819,0.642,0.608,0.097,0.112,0.14986376,0.188834154,250000,580000,0.118447581,0.09933222,0.114134182
E01032581,0.528,0.631,0.745,0.666,0.055,0.08,0.114006515,0.125925926,172498,265000,0.096176822,0.074188563,-0.33994158
E01003690,0.636,0.724,0.633,0.507,0.188,0.141,0.106523534,0.143269786,214500,577500,0.19244186,0.185476411,0.335354179
E01003691,0.814,0.835,0.635,0.576,0.089,0.107,0.14244186,0.153543307,331000,500000,0.070588235,0.049627792,-0.030106284
E01003692,0.727,0.791,0.619,0.527,0.122,0.124,0.131509267,0.131007752,323500,500000,0.061682243,0.070823245,0.085215809
E01003693,0.783,0.844,0.633,0.534,0.121,0.125,0.108361775,0.135682159,374995,800000,0.069677419,0.040901008,0.04023235
E01003694,0.779,0.837,0.64,0.588,0.151,0.191,0.119815668,0.150819672,325000,670000,0.035519126,0.032630863,-0.057799212
E01003695,0.785,0.74,0.626,0.587,0.109,0.137,0.141630901,0.174708819,175000,307000,0.056957929,0.073364177,0.030627454
E01003696,0.73,0.754,0.643,0.597,0.132,0.154,0.082062455,0.141896436,303750,522500,0.055467512,0.05059693,-0.254752623
E01003697,0.799,0.831,0.59,0.551,0.109,0.126,0.084674005,0.121082621,360000,575000,0.12675198,0.131639723,-0.170988147
E01003675,0.746,0.81,0.621,0.523,0.148,0.147,0.090345438,0.126164875,309000,580000,0.110289587,0.10324826,-0.076258477
E01003676,0.785,0.828,0.636,0.555,0.13,0.127,0.08312552,0.121349773,345000,668750,0.038100821,0.035603715,-0.005136493
E01003677,0.681,0.779,0.686,0.547,0.195,0.164,0.08120438,0.0993996,325000,610000,0.099806825,0.103429204,0.093270607
E01003678,0.7,0.808,0.632,0.54,0.127,0.169,0.06516073,0.09435364,350000,614000,0.048507463,0.038852361,-0.431985899
E01003679,0.676,0.838,0.651,0.555,0.141,0.148,0.084518828,0.108298172,333250,680000,0.034398034,0.048682703,-0.123234118
E01003680,0.697,0.787,0.72,0.583,0.116,0.145,0.068162209,0.10393467,320000,645000,0.040540541,0.060036386,-0.389655954
E01003681,0.622,0.744,0.687,0.601,0.176,0.166,0.094679186,0.133811231,275000,372500,0.071312804,0.072230356,-0.277529559
E01003682,0.777,0.854,0.641,0.562,0.115,0.142,0.082089552,0.130841121,323000,562500,0.038033938,0.047103411,-0.367697676
E01003543,0.615,0.555,0.65,0.538,0.065,0.083,0.099571734,0.114745308,258500,586000,0.075290348,0.070145423,0.109698933
E01003544,0.658,0.607,0.696,0.581,0.067,0.08,0.135895676,0.138408304,207000,475000,0.094580777,0.084015276,0.26964196
E01003546,0.799,0.687,0.729,0.618,0.054,0.07,0.154578755,0.147540984,215000,412500,0.076608784,0.06793936,0.281332904
E01003550,0.7,0.642,0.665,0.601,0.077,0.081,0.13449848,0.142857143,132000,518500,0.080067189,0.061064426,0.621379619
E01003576,0.811,0.82,0.751,0.7,0.081,0.072,0.190985485,0.20747521,120000,420000,0.133605303,0.094007697,0.675974914
E01003581,0.862,0.839,0.779,0.707,0.061,0.076,0.192307692,0.214019389,205000,410000,0.061191626,0.058100559,0.126759078
E01003582,0.802,0.831,0.756,0.689,0.067,0.074,0.172261484,0.198096886,183000,410000,0.055555556,0.043908472,0.196505838
E01003583,0.8,0.814,0.751,0.716,0.09,0.085,0.190088757,0.205843293,228750,431000,0.044647387,0.039980961,0.385462818
E01003578,0.797,0.769,0.704,0.695,0.03,0.049,0.162007168,0.204255319,177000,380000,0.09989858,0.08947636,-0.036923197
E01003584,0.714,0.687,0.688,0.577,0.076,0.13,0.163731246,0.179973822,292500,760000,0.049975973,0.048136646,-0.043575735
E01003586,0.83,0.831,0.708,0.675,0.061,0.072,0.179039301,0.18513324,205000,485000,0.065952649,0.059693319,0.34153305
E01003590,0.705,0.675,0.699,0.638,0.128,0.105,0.18164794,0.199509403,209000,396553,0.089816572,0.10819262,0.551312072
E01003579,0.868,0.872,0.75,0.702,0.064,0.083,0.19668425,0.228789986,240000,440000,0.046162104,0.031456114,0.012338153
E01003585,0.906,0.863,0.747,0.71,0.078,0.086,0.219882056,0.204563336,220000,463500,0.051143201,0.046625767,0.504925821
E01003587,0.801,0.786,0.666,0.648,0.064,0.077,0.156666667,0.207296849,149995,311750,0.085261876,0.074979952,0.09709629
E01003591,0.824,0.826,0.69,0.692,0.055,0.067,0.2,0.194047619,144563,300000,0.135159817,0.098178587,0.370162568
E01003528,0.878,0.875,0.724,0.702,0.083,0.092,0.183279743,0.188601036,188500,500000,0.050859599,0.043445693,0.469048902
E01003575,0.846,0.822,0.747,0.672,0.057,0.081,0.1971113,0.187751813,212000,410000,0.083479276,0.055321708,0.154070785
E01003577,0.798,0.844,0.787,0.66,0.087,0.056,0.207928803,0.17776491,166250,500000,0.059344092,0.053451178,1.143828993
E01003580,0.802,0.827,0.767,0.702,0.068,0.065,0.164763458,0.183175034,200000,373500,0.071195652,0.061264822,0.287342709
E01003545,0.67,0.61,0.695,0.613,0.058,0.07,0.11372549,0.126404494,230000,485000,0.085401039,0.063188406,0.218631917
E01003548,0.572,0.543,0.678,0.562,0.089,0.095,0.092542188,0.110047847,227750,522500,0.081512605,0.059265812,0.188885084
E01003549,0.61,0.597,0.658,0.556,0.066,0.067,0.094418052,0.133333333,193000,331750,0.072838346,0.067384183,-0.05023105
E01003557,0.732,0.723,0.687,0.608,0.048,0.067,0.168035376,0.18018018,287500,425000,0.115533981,0.094177215,-0.144942419
E01003547,0.532,0.451,0.599,0.56,0.075,0.112,0.083557951,0.11552795,280000,657500,0.090768437,0.040302267,0.077015814
E01003555,0.793,0.83,0.679,0.603,0.087,0.111,0.147286822,0.179851251,320000,705000,0.054476807,0.039556962,-0.021794846
E01003561,0.918,0.899,0.694,0.639,0.059,0.09,0.159693166,0.18404908,239000,500000,0.052050473,0.048538012,-0.019715636
E01003567,0.887,0.844,0.72,0.647,0.066,0.059,0.193595342,0.190934066,169500,454500,0.074456522,0.066530194,0.697764397
E01003556,0.723,0.801,0.737,0.672,0.054,0.065,0.115845539,0.222372881,115000,505000,0.147956544,0.176081425,-0.07010627
E01003558,0.807,0.813,0.741,0.644,0.09,0.075,0.185558354,0.208527132,149500,440000,0.15995116,0.154385965,0.592078412
E01003570,0.866,0.852,0.722,0.685,0.063,0.075,0.184595799,0.186078567,226000,445000,0.116690579,0.157024793,0.286583655
E01003571,0.925,0.871,0.69,0.686,0.065,0.087,0.187573271,0.233580811,206000,420000,0.054782609,0.04964539,0.11585078
E01003572,0.887,0.846,0.755,0.686,0.072,0.084,0.190146266,0.203831418,250000,508000,0.062291435,0.054102259,0.245757582
E01003551,0.678,0.62,0.656,0.587,0.085,0.098,0.143994211,0.181395349,250000,447500,0.106775068,0.063577586,0.078503501
E01003553,0.645,0.71,0.705,0.621,0.051,0.063,0.119565217,0.15822389,175000,320000,0.131525077,0.104270109,-0.208495109
E01003554,0.552,0.528,0.644,0.533,0.069,0.097,0.090377113,0.121046229,246250,455000,0.066383431,0.04616999,-0.246036164
E01003559,0.539,0.512,0.563,0.549,0.043,0.056,0.075329567,0.107784431,236000,421000,0.087121212,0.092600423,-0.066588483
E01003529,0.94,0.899,0.688,0.658,0.075,0.107,0.193513514,0.222222222,245000,499000,0.057772236,0.042851257,0.08077695
E01003530,0.924,0.788,0.656,0.649,0.071,0.091,0.153790614,0.176626826,225000,475000,0.041237113,0.044633369,0.339047842
E01003531,0.896,0.876,0.67,0.646,0.076,0.099,0.159239843,0.211117682,250000,500000,0.127786033,0.107644991,0.007626631
E01003532,0.92,0.876,0.672,0.607,0.095,0.09,0.171447197,0.161843516,242000,492500,0.051928783,0.04028838,0.56666859
E01003534,0.898,0.9,0.717,0.677,0.064,0.084,0.189455388,0.211363636,221500,515000,0.06059357,0.047377327,0.16684933
E01003533,0.884,0.892,0.706,0.696,0.095,0.089,0.181222707,0.224049915,217500,500000,0.060654008,0.056,0.417929009
E01003560,0.908,0.855,0.728,0.675,0.069,0.084,0.166913947,0.185045317,210000,450000,0.026809651,0.053927315,0.240248283
E01003563,0.864,0.884,0.733,0.657,0.046,0.058,0.206370272,0.202588633,224500,445500,0.027818448,0.030821918,0.169540115
E01003588,0.922,0.835,0.723,0.711,0.065,0.084,0.175171363,0.200493016,218000,401250,0.034368071,0.052597819,0.191524393
E01003589,0.833,0.812,0.686,0.664,0.051,0.073,0.183088235,0.185003504,198500,430000,0.043868922,0.060955519,0.219379162
E01003616,0.619,0.591,0.665,0.599,0.055,0.075,0.117690058,0.129701686,242000,410000,0.152694611,0.114656571,-0.012326531
E01003617,0.594,0.445219575,0.577,0.537669242,0.073,0.125633398,0.08169464,0.102151742,200000,372500,0.085342529,0.079747003,0.104903707
E01003618,0.525,0.523,0.578,0.535,0.055,0.072,0.084792123,0.103519669,228000,450000,0.193721973,0.120751342,-0.000235614
E01003619,0.604,0.666,0.594,0.534,0.06,0.066,0.110344828,0.119238477,220500,391250,0.182094741,0.119692681,0.065472914
E01003615,0.618,0.614,0.699,0.623,0.08,0.089,0.104748603,0.160057678,237000,523133,0.094492441,0.080023364,-0.015196123
E01033578,0.598,0.445219575,0.502,0.537669242,0.019,0.125633398,0.08169464,0.102151742,217500,495000,0.085342529,0.079747003,-0.078924202
E01033579,0.588,0.473,0.436,0.355,0.016,0.018,0.050877193,0.056470588,211000,342000,0.068545316,0.066702528,0.187840067
E01033583,0.6,0.445219575,0.62,0.537669242,0.06,0.125633398,0.08169464,0.102151742,246950,611000,0.085342529,0.079747003,0.06766898
E01033586,0.594,0.58,0.621,0.504,0.046,0.048,0.104261106,0.105086641,211950,361000,0.130190007,0.080076263,0.155353542
E01003562,0.91,0.879,0.699,0.678,0.06,0.104,0.172632794,0.195716835,197500,500000,0.053571429,0.060104117,0.068270858
E01003564,0.896,0.831,0.664,0.648,0.042,0.066,0.160259881,0.183774834,210000,376500,0.050541516,0.069198312,0.004167125
E01003565,0.914,0.855,0.672,0.626,0.052,0.061,0.192857143,0.221797323,215000,429000,0.046227418,0.033665244,0.216336639
E01003566,0.896,0.888,0.7,0.702,0.066,0.068,0.191698113,0.230553609,218500,292500,0.148865523,0.158380318,0.066906416
E01003625,0.814,0.771,0.712,0.63,0.048,0.067,0.196125908,0.175962294,190000,421000,0.059029807,0.064958284,0.305315032
